tipo_celular,module_size,FKTN_MM,FKTN_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.138,35.0,97,2,2.06,2.69 (2.37-3.02),95,97.94,3.06 (2.66-3.47)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.111,42.0,136,6,4.41,2.35 (1.38-3.33),130,95.59,3.25 (2.97-3.52)
oligodendrocyte progenitor cells 7,4285.0,0.157,82.0,353,34,9.63,1.81 (1.43-2.19),319,90.37,4.18 (4.00-4.35)
GABA neurons expressing GLU receptors 22,703.0,0.344,99.0,23,2,8.7,1.85 (0.53-3.17),21,91.3,2.12 (1.34-2.89)
GLU like neurons 17,300.0,0.155,20.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93)
da like neurons 11,145.0,0.308,69.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,322.0,0.273,90.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,3052.0,0.208,94.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,771.0,0.063,20.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,3303.0,0.104,78.0,276,23,8.33,1.96 (1.57-2.36),253,91.67,3.74 (3.51-3.96)
oligodendrocytes 10,1277.0,0.091,38.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,102.0,0.362,91.0,5,1,20.0,1.01 (NA-NA),4,80.0,1.57 (1.57-1.57)
astrocytes 15,443.0,0.261,95.0,9,2,22.22,2.04 (-0.10-4.18),7,77.78,3.68 (2.17-5.18)
oligodendrocytes 16,122.0,0.174,29.0,11,0,0.0,NA,11,100.0,3.57 (3.08-4.06)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,122.0,0.327,66.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68)
astrocytes 4,1807.0,0.138,37.0,104,19,18.27,1.84 (1.33-2.35),85,81.73,3.10 (2.79-3.40)
oligodendrocytes 0,479.0,0.163,60.0,40,2,5.0,4.03 (3.36-4.70),38,95.0,5.99 (5.47-6.51)
microglia 1,813.0,0.094,21.0,79,4,5.06,2.65 (1.80-3.49),75,94.94,3.13 (2.70-3.55)
oligodendrocytes 3,639.0,0.121,69.0,15,6,40.0,1.20 (0.31-2.09),9,60.0,5.12 (3.78-6.47)
oligodendrocytes 2,804.0,0.15,49.0,84,8,9.52,2.14 (1.24-3.03),76,90.48,2.76 (2.40-3.12)
