tipo_celular,module_size,RPL15_MM,RPL15_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.311,62.0,98,21,21.43,2.50 (1.94-3.07),77,78.57,3.49 (2.89-4.09)
T cells 18,506,0.516,95.0,225,20,8.89,2.49 (1.92-3.07),205,91.11,3.75 (3.49-4.01)
astrocytes 5,228,0.209,67.0,266,10,3.76,1.33 (0.51-2.16),256,96.24,4.24 (4.04-4.44)
oligodendrocyte progenitor cells 7,628,0.341,93.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,848,0.423,94.0,262,7,2.67,1.46 (0.47-2.45),255,97.33,4.25 (4.01-4.49)
GLU like neurons 17,685,0.234,83.0,135,25,18.52,2.21 (1.70-2.71),110,81.48,3.44 (3.09-3.78)
da like neurons 11,1220,0.378,91.0,410,15,3.66,2.89 (2.19-3.58),395,96.34,4.31 (4.12-4.50)
GABA neurons expressing GABA receptors 13,417,0.202,72.0,213,25,11.74,1.92 (1.33-2.50),188,88.26,4.07 (3.84-4.31)
endothelial cells 9,916,0.537,94.0,302,9,2.98,3.19 (2.19-4.18),293,97.02,4.01 (3.78-4.24)
oligodendrocytes 20,938,0.117,45.0,169,14,8.28,2.69 (1.92-3.47),155,91.72,3.56 (3.34-3.79)
GABA like neurons 14,2402,0.714,99.0,455,28,6.15,1.85 (1.34-2.37),427,93.85,4.57 (4.39-4.74)
astrocytes 8,603,0.239,94.0,89,18,20.22,2.40 (1.77-3.02),71,79.78,2.89 (2.47-3.31)
oligodendrocyte progenitor cells 12,1049,0.264,90.0,235,11,4.68,3.42 (2.92-3.93),224,95.32,3.85 (3.60-4.09)
oligodendrocytes 10,483,0.428,93.0,129,11,8.53,3.53 (3.02-4.04),118,91.47,3.42 (2.99-3.85)
connective tissue cells 21,301,0.481,77.0,158,16,10.13,2.65 (1.95-3.35),142,89.87,4.50 (4.11-4.88)
astrocytes 15,261,0.114,28.0,8,3,37.5,1.39 (-0.70-3.48),5,62.5,5.40 (3.54-7.25)
oligodendrocytes 16,313,0.139,15.0,291,1,0.34,0.55 (NA-NA),290,99.66,4.34 (4.12-4.57)
da neurons 6,729,0.212,77.0,182,15,8.24,2.65 (2.00-3.30),167,91.76,3.74 (3.47-4.00)
astrocytes microglia 23,137,0.347,45.0,188,28,14.89,2.10 (1.60-2.59),160,85.11,4.88 (4.55-5.22)
astrocytes 4,157,0.224,65.0,178,6,3.37,1.01 (0.00-2.01),172,96.63,4.29 (4.04-4.55)
oligodendrocytes 0,546,0.312,91.0,252,30,11.9,2.02 (1.51-2.53),222,88.1,4.45 (4.21-4.69)
microglia 1,406,0.525,91.0,278,8,2.88,3.69 (3.08-4.30),270,97.12,4.39 (4.11-4.67)
oligodendrocytes 3,303,0.265,91.0,154,9,5.84,3.57 (3.00-4.15),145,94.16,3.62 (3.29-3.96)
oligodendrocytes 2,526,0.444,88.0,213,8,3.76,3.69 (3.08-4.30),205,96.24,3.99 (3.71-4.28)
