tipo_celular,module_size,SLC12A2_MM,SLC12A2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,349.0,0.269,74.0,68,16,23.53,2.95 (1.93-3.96),52,76.47,4.89 (4.31-5.48)
astrocytes 5,165.0,0.324,80.0,51,3,5.88,7.13 (4.87-9.39),48,94.12,5.25 (4.57-5.93)
oligodendrocyte progenitor cells 7,229.0,0.22,62.0,45,5,11.11,5.27 (4.71-5.84),40,88.89,4.96 (4.25-5.67)
GABA neurons expressing GLU receptors 22,823.0,0.227,78.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,637.0,0.242,74.0,91,15,16.48,1.73 (0.97-2.48),76,83.52,5.35 (4.91-5.78)
da like neurons 11,71.0,0.422,88.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,288.0,0.209,64.0,93,22,23.66,3.86 (3.01-4.71),71,76.34,5.69 (5.14-6.23)
endothelial cells 9,586.0,0.314,69.0,62,6,9.68,4.60 (2.98-6.22),56,90.32,4.00 (3.54-4.47)
oligodendrocytes 20,295.0,0.082,14.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,3052.0,0.171,76.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.568,95.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708.0,0.428,94.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,236.0,0.459,39.0,82,19,23.17,4.54 (3.89-5.19),63,76.83,5.17 (4.50-5.85)
connective tissue cells 21,114.0,0.378,88.0,19,10,52.63,5.24 (4.35-6.13),9,47.37,4.41 (3.25-5.57)
astrocytes 15,458.0,0.25,88.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,287.0,0.324,54.0,105,28,26.67,3.66 (2.94-4.37),77,73.33,5.91 (5.50-6.33)
da neurons 6,518.0,0.153,82.0,122,37,30.33,3.17 (2.45-3.90),85,69.67,4.42 (3.98-4.85)
astrocytes microglia 23,49.0,0.438,92.0,1,0,0.0,NA,1,100.0,6.09 (NA-NA)
astrocytes 4,102.0,0.21,57.0,42,4,9.52,5.00 (4.97-5.04),38,90.48,5.73 (4.96-6.50)
oligodendrocytes 0,546.0,0.149,37.0,252,29,11.51,2.76 (2.01-3.50),223,88.49,4.28 (4.03-4.54)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,127.0,0.316,68.0,45,12,26.67,3.12 (2.38-3.85),33,73.33,5.34 (4.11-6.57)
oligodendrocytes 2,528.0,0.242,70.0,175,22,12.57,3.50 (2.76-4.23),153,87.43,4.52 (4.14-4.90)
