tipo_celular,module_size,CEP170_MM,CEP170_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235,0.174,34.0,140,0,0.0,NA,140,100.0,4.56 (4.27-4.84)
T cells 18,349,0.141,34.0,68,4,5.88,4.38 (4.26-4.50),64,94.12,4.37 (3.77-4.97)
astrocytes 5,499,0.155,47.0,32,2,6.25,4.33 (NA-NA),30,93.75,5.06 (4.54-5.57)
oligodendrocyte progenitor cells 7,448,0.157,63.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,567,0.065,3.0,16,2,12.5,3.25 (0.69-5.82),14,87.5,1.76 (1.12-2.40)
GLU like neurons 17,637,0.12,32.0,91,7,7.69,1.14 (0.25-2.03),84,92.31,4.93 (4.45-5.42)
da like neurons 11,101,0.393,82.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,93,0.117,16.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,1653,0.145,64.0,297,2,0.67,NA,295,99.33,3.67 (3.47-3.88)
oligodendrocytes 20,676,0.316,57.0,110,6,5.45,4.38 (4.26-4.50),104,94.55,5.03 (4.55-5.50)
GABA like neurons 14,1300,0.168,30.0,306,5,1.63,3.68 (2.78-4.59),301,98.37,5.13 (4.86-5.39)
astrocytes 8,771,0.224,70.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,143,0.457,70.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,236,0.368,20.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51)
connective tissue cells 21,114,0.216,27.0,19,0,0.0,NA,19,100.0,4.90 (4.18-5.61)
astrocytes 15,458,0.095,51.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,287,0.4,78.0,105,3,2.86,4.32 (4.30-4.34),102,97.14,5.11 (4.64-5.58)
da neurons 6,518,0.121,61.0,122,5,4.1,0.92 (0.38-1.46),117,95.9,4.16 (3.78-4.55)
astrocytes microglia 23,327,0.168,5.0,120,5,4.17,1.42 (0.23-2.60),115,95.83,3.73 (3.44-4.03)
astrocytes 4,752,0.155,51.0,96,4,4.17,1.57 (1.57-1.57),92,95.83,3.34 (3.00-3.67)
oligodendrocytes 0,261,0.292,95.0,42,6,14.29,3.44 (2.28-4.60),36,85.71,4.20 (3.40-5.01)
microglia 1,480,0.063,1.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,116,0.322,90.0,7,2,28.57,NA,5,71.43,3.71 (1.38-6.05)
oligodendrocytes 2,347,0.239,68.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
