tipo_celular,module_size,ZNF397_MM,ZNF397_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.122,22.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.108,49.0,80,2,2.5,4.37 (4.37-4.37),78,97.5,3.65 (3.23-4.07)
oligodendrocyte progenitor cells 7,4285.0,0.133,47.0,353,52,14.73,2.05 (1.74-2.35),301,85.27,4.33 (4.15-4.50)
GABA neurons expressing GLU receptors 22,714.0,0.11,10.0,17,4,23.53,2.46 (2.14-2.78),13,76.47,2.26 (1.50-3.03)
GLU like neurons 17,637.0,0.144,44.0,91,10,10.99,1.13 (0.42-1.84),81,89.01,5.13 (4.69-5.58)
da like neurons 11,408.0,0.16,47.0,25,6,24.0,1.31 (0.53-2.09),19,76.0,6.03 (4.79-7.27)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.09,20.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,348.0,0.2,73.0,33,2,6.06,3.21 (2.29-4.12),31,93.94,2.70 (2.18-3.22)
GABA like neurons 14,3052.0,0.064,4.0,125,1,0.8,4.56 (NA-NA),124,99.2,3.34 (3.02-3.67)
astrocytes 8,771.0,0.076,28.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708.0,0.088,37.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,1277.0,0.12,58.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,111.0,0.303,62.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1768.0,0.106,68.0,105,17,16.19,1.52 (1.17-1.86),88,83.81,3.57 (3.22-3.92)
oligodendrocytes 16,75.0,0.212,69.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,114.0,0.309,54.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.176,90.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,1186.0,0.149,59.0,300,6,2.0,3.67 (3.08-4.26),294,98.0,3.80 (3.59-4.01)
microglia 1,1615.0,0.098,33.0,161,45,27.95,1.89 (1.59-2.19),116,72.05,3.99 (3.71-4.26)
oligodendrocytes 3,681.0,0.133,79.0,87,46,52.87,2.29 (1.99-2.60),41,47.13,2.97 (2.52-3.43)
oligodendrocytes 2,407.0,0.147,43.0,122,53,43.44,2.14 (1.84-2.45),69,56.56,4.80 (4.29-5.30)
