tipo_celular,module_size,ACACB_MM,ACACB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,282.0,0.264,94.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,222.0,0.318,86.0,98,0,0.0,NA,98,100.0,4.60 (4.19-5.00)
oligodendrocyte progenitor cells 7,200.0,0.363,93.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,685.0,0.204,78.0,135,6,4.44,1.02 (0.77-1.26),129,95.56,3.31 (3.00-3.62)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.16,74.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,938.0,0.054,14.0,169,15,8.88,2.34 (1.74-2.94),154,91.12,3.62 (3.39-3.84)
GABA like neurons 14,2090.0,0.081,6.0,74,2,2.7,1.98 (0.90-3.05),72,97.3,2.97 (2.59-3.36)
astrocytes 8,260.0,0.254,94.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,708.0,0.091,41.0,32,10,31.25,1.37 (0.66-2.08),22,68.75,4.29 (3.40-5.17)
oligodendrocytes 10,1277.0,0.142,70.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,88.0,0.219,17.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418.0,0.371,81.0,54,2,3.7,1.79 (0.82-2.75),52,96.3,3.76 (3.32-4.20)
oligodendrocytes 16,64.0,0.205,59.0,1,0,0.0,NA,1,100.0,2.12 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,59.0,0.288,42.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,255.0,0.286,94.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,1186.0,0.158,72.0,300,3,1.0,2.89 (NA-NA),297,99.0,3.80 (3.59-4.00)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.093,46.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,407.0,0.143,36.0,122,11,9.02,1.06 (0.49-1.63),111,90.98,3.62 (3.24-4.01)
