tipo_celular,module_size,STK24_MM,STK24_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.188,43.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,477.0,0.203,75.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,423.0,0.22,82.0,80,2,2.5,2.41 (-0.28-5.09),78,97.5,3.43 (2.95-3.91)
oligodendrocyte progenitor cells 7,666.0,0.152,38.0,127,21,16.54,2.84 (2.19-3.49),106,83.46,4.06 (3.69-4.43)
GABA neurons expressing GLU receptors 22,703.0,0.341,98.0,23,2,8.7,1.85 (0.53-3.17),21,91.3,2.12 (1.34-2.89)
GLU like neurons 17,685.0,0.088,20.0,135,30,22.22,2.48 (1.96-2.99),105,77.78,3.39 (3.04-3.74)
da like neurons 11,89.0,0.049,0.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.126,28.0,62,3,4.84,2.90 (2.44-3.36),59,95.16,4.12 (3.65-4.58)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.107,17.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,218.0,0.177,74.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,3303.0,0.125,92.0,276,32,11.59,2.50 (2.08-2.92),244,88.41,3.72 (3.48-3.95)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,102.0,0.181,5.0,5,3,60.0,1.38 (1.02-1.75),2,40.0,NA
astrocytes 15,1401.0,0.096,60.0,96,12,12.5,4.37 (3.19-5.55),84,87.5,3.49 (3.01-3.97)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,111.0,0.327,51.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94)
astrocytes 4,514.0,0.211,64.0,95,5,5.26,1.97 (0.34-3.60),90,94.74,3.47 (3.04-3.90)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,958.0,0.108,46.0,290,17,5.86,2.17 (1.72-2.61),273,94.14,3.94 (3.70-4.17)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
