tipo_celular,module_size,MLLT1_MM,MLLT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.237,69.0,5,2,40.0,NA,3,60.0,2.33 (0.29-4.37)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.097,23.0,136,5,3.68,1.58 (1.21-1.95),131,96.32,3.26 (2.99-3.54)
oligodendrocyte progenitor cells 7,4285.0,0.114,21.0,353,54,15.3,1.94 (1.64-2.24),299,84.7,4.32 (4.15-4.49)
GABA neurons expressing GLU receptors 22,567.0,0.111,12.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,853.0,0.095,24.0,133,41,30.83,1.84 (1.52-2.15),92,69.17,3.94 (3.60-4.29)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.063,4.0,297,3,1.01,5.16 (NA-NA),294,98.99,3.67 (3.46-3.87)
oligodendrocytes 20,298.0,0.045,12.0,6,1,16.67,NA,5,83.33,0.26 (NA-NA)
GABA like neurons 14,2402.0,0.095,7.0,455,21,4.62,1.47 (0.98-1.95),434,95.38,4.54 (4.36-4.71)
astrocytes 8,520.0,0.034,3.0,288,2,0.69,0.67 (0.43-0.90),286,99.31,4.20 (4.01-4.40)
oligodendrocyte progenitor cells 12,3303.0,0.046,12.0,276,46,16.67,2.06 (1.80-2.31),230,83.33,3.94 (3.70-4.17)
oligodendrocytes 10,735.0,0.08,37.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,116.0,0.413,93.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,458.0,0.102,56.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,82.0,0.269,81.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,126.0,0.394,83.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA)
astrocytes 4,1807.0,0.138,37.0,104,23,22.12,1.60 (1.26-1.94),81,77.88,3.26 (2.96-3.56)
oligodendrocytes 0,2078.0,0.11,41.0,238,15,6.3,2.51 (1.92-3.10),223,93.7,3.71 (3.49-3.94)
microglia 1,813.0,0.079,8.0,79,1,1.27,4.40 (NA-NA),78,98.73,3.08 (2.68-3.49)
oligodendrocytes 3,743.0,0.056,14.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.17,94.0,154,3,1.95,3.56 (1.90-5.21),151,98.05,3.24 (2.97-3.51)
