tipo_celular,module_size,RPS16_MM,RPS16_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.339,67.0,98,38,38.78,3.25 (2.61-3.88),60,61.22,3.18 (2.50-3.87)
T cells 18,506.0,0.447,91.0,225,39,17.33,3.31 (2.68-3.93),186,82.67,3.68 (3.41-3.95)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,448.0,0.267,88.0,108,15,13.89,4.54 (3.68-5.41),93,86.11,3.01 (2.54-3.49)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.553,96.0,302,22,7.28,3.99 (3.12-4.87),280,92.72,3.98 (3.75-4.21)
oligodendrocytes 20,253.0,0.188,65.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2402.0,0.501,88.0,455,51,11.21,2.68 (2.14-3.23),404,88.79,4.59 (4.41-4.77)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.33,93.0,235,25,10.64,4.12 (3.42-4.83),210,89.36,3.79 (3.54-4.03)
oligodendrocytes 10,483.0,0.455,94.0,129,21,16.28,4.48 (3.82-5.14),108,83.72,3.21 (2.77-3.65)
connective tissue cells 21,301.0,0.478,76.0,158,22,13.92,3.59 (2.73-4.45),136,86.08,4.41 (4.01-4.81)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,96.0,0.269,68.0,102,46,45.1,2.85 (2.28-3.41),56,54.9,3.76 (3.41-4.11)
da neurons 6,729.0,0.205,75.0,182,27,14.84,3.68 (2.88-4.48),155,85.16,3.63 (3.37-3.89)
astrocytes microglia 23,137.0,0.383,61.0,188,43,22.87,2.95 (2.38-3.53),145,77.13,4.95 (4.60-5.31)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.253,80.0,252,50,19.84,2.74 (2.18-3.30),202,80.16,4.48 (4.23-4.72)
microglia 1,406.0,0.474,87.0,278,11,3.96,4.12 (3.23-5.01),267,96.04,4.37 (4.09-4.66)
oligodendrocytes 3,303.0,0.204,71.0,154,17,11.04,4.55 (3.75-5.36),137,88.96,3.50 (3.16-3.83)
oligodendrocytes 2,526.0,0.327,70.0,213,12,5.63,4.40 (3.43-5.36),201,94.37,3.95 (3.67-4.24)
