tipo_celular,module_size,RPL10A_MM,RPL10A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.347,69.0,98,37,37.76,3.23 (2.56-3.90),61,62.24,3.20 (2.54-3.86)
T cells 18,506.0,0.497,94.0,225,37,16.44,3.30 (2.64-3.95),188,83.56,3.68 (3.41-3.95)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,448.0,0.243,84.0,108,12,11.11,4.34 (3.45-5.23),96,88.89,3.09 (2.61-3.56)
GABA neurons expressing GLU receptors 22,848.0,0.109,8.0,262,19,7.25,2.33 (1.55-3.11),243,92.75,4.30 (4.05-4.54)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.463,89.0,302,21,6.95,4.01 (3.07-4.96),281,93.05,3.98 (3.75-4.21)
oligodendrocytes 20,279.0,0.159,31.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,2402.0,0.474,86.0,455,44,9.67,2.65 (2.02-3.29),411,90.33,4.56 (4.38-4.74)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.313,92.0,235,23,9.79,4.15 (3.38-4.92),212,90.21,3.79 (3.54-4.03)
oligodendrocytes 10,483.0,0.425,92.0,129,20,15.5,4.53 (3.80-5.26),109,84.5,3.22 (2.79-3.65)
connective tissue cells 21,301.0,0.598,92.0,158,19,12.03,3.36 (2.50-4.22),139,87.97,4.44 (4.04-4.83)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,96.0,0.282,73.0,102,40,39.22,2.73 (2.14-3.32),62,60.78,3.75 (3.39-4.10)
da neurons 6,729.0,0.211,77.0,182,24,13.19,3.51 (2.69-4.33),158,86.81,3.66 (3.39-3.92)
astrocytes microglia 23,161.0,0.302,39.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.243,78.0,252,45,17.86,2.75 (2.13-3.37),207,82.14,4.43 (4.18-4.67)
microglia 1,406.0,0.457,84.0,278,10,3.6,4.17 (3.08-5.27),268,96.4,4.37 (4.09-4.65)
oligodendrocytes 3,303.0,0.205,72.0,154,15,9.74,4.62 (3.73-5.51),139,90.26,3.50 (3.17-3.83)
oligodendrocytes 2,526.0,0.311,64.0,213,10,4.69,4.48 (3.35-5.61),203,95.31,3.95 (3.67-4.23)
