tipo_celular,module_size,LDLRAD3_MM,LDLRAD3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,156.0,0.166,64.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,436.0,0.03,1.0,219,1,0.46,4.52 (NA-NA),218,99.54,5.22 (4.93-5.51)
GABA neurons expressing GLU receptors 22,703.0,0.278,92.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,685.0,0.263,87.0,135,2,1.48,0.92 (0.19-1.65),133,98.52,3.23 (2.92-3.54)
da like neurons 11,191.0,0.116,15.0,93,3,3.23,2.12 (1.30-2.94),90,96.77,5.81 (5.43-6.18)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.34,85.0,120,3,2.5,2.35 (1.99-2.72),117,97.5,4.67 (4.36-4.99)
oligodendrocytes 20,676.0,0.508,79.0,110,1,0.91,2.91 (NA-NA),109,99.09,5.02 (4.57-5.47)
GABA like neurons 14,3052.0,0.114,29.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,1266.0,0.119,76.0,66,3,4.55,2.43 (-0.37-5.24),63,95.45,3.27 (2.85-3.69)
oligodendrocyte progenitor cells 12,254.0,0.294,53.0,37,2,5.41,2.53 (2.34-2.73),35,94.59,4.63 (4.04-5.22)
oligodendrocytes 10,236.0,0.572,72.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51)
connective tissue cells 21,147.0,0.319,85.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,268.0,0.119,61.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,153.0,0.439,82.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,122.0,0.223,26.0,46,1,2.17,4.52 (NA-NA),45,97.83,5.04 (4.47-5.62)
astrocytes 4,251.0,0.172,56.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86)
oligodendrocytes 0,187.0,0.398,98.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,116.0,0.255,35.0,7,0,0.0,NA,7,100.0,3.71 (1.38-6.05)
oligodendrocytes 2,347.0,0.214,59.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
