tipo_celular,module_size,MOV10_MM,MOV10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.119,55.0,136,8,5.88,2.80 (1.46-4.15),128,94.12,3.24 (2.96-3.51)
oligodendrocyte progenitor cells 7,4285.0,0.131,44.0,353,70,19.83,2.87 (2.44-3.31),283,80.17,4.21 (4.03-4.40)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.076,6.0,120,9,7.5,4.04 (2.77-5.30),111,92.5,4.66 (4.34-4.99)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,1266.0,0.032,3.0,66,26,39.39,2.62 (1.95-3.28),40,60.61,3.74 (3.26-4.21)
oligodendrocyte progenitor cells 12,411.0,0.043,17.0,103,12,11.65,5.68 (4.41-6.94),91,88.35,5.52 (5.12-5.92)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,96.0,0.296,58.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.077,42.0,105,28,26.67,2.60 (1.95-3.25),77,73.33,3.45 (3.07-3.83)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,112.0,0.414,92.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.139,38.0,104,21,20.19,1.75 (1.24-2.26),83,79.81,3.17 (2.88-3.47)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
