tipo_celular,module_size,EYA2_MM,EYA2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,222.0,0.298,82.0,98,3,3.06,1.76 (0.79-2.74),95,96.94,4.71 (4.30-5.11)
oligodendrocyte progenitor cells 7,200.0,0.179,51.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.111,20.0,74,9,12.16,2.76 (1.86-3.66),65,87.84,2.97 (2.55-3.38)
astrocytes 8,279.0,0.356,89.0,78,15,19.23,2.68 (2.23-3.14),63,80.77,4.79 (4.34-5.23)
oligodendrocyte progenitor cells 12,3303.0,0.116,87.0,276,33,11.96,2.19 (1.87-2.51),243,88.04,3.78 (3.54-4.01)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,183.0,0.373,81.0,32,3,9.38,3.01 (-1.18-7.20),29,90.62,5.27 (4.65-5.88)
astrocytes 15,418.0,0.491,89.0,54,2,3.7,3.44 (3.37-3.51),52,96.3,3.69 (3.24-4.15)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,122.0,0.249,34.0,46,1,2.17,5.24 (NA-NA),45,97.83,5.03 (4.45-5.60)
astrocytes 4,251.0,0.217,82.0,34,2,5.88,2.42 (2.37-2.47),32,94.12,5.49 (4.93-6.06)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
