tipo_celular,module_size,GLIS3_MM,GLIS3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.286,89.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.347,94.0,58,2,3.45,1.33 (0.43-2.22),56,96.55,4.29 (3.89-4.70)
oligodendrocyte progenitor cells 7,200.0,0.471,98.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74)
GABA neurons expressing GLU receptors 22,599.0,0.541,100.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,685.0,0.316,93.0,135,26,19.26,1.95 (1.58-2.31),109,80.74,3.56 (3.21-3.90)
da like neurons 11,94.0,0.344,77.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.292,76.0,120,0,0.0,NA,120,100.0,4.61 (4.29-4.92)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.266,77.0,306,6,1.96,1.26 (0.53-2.00),300,98.04,5.21 (4.95-5.46)
astrocytes 8,279.0,0.197,20.0,78,3,3.85,2.13 (1.70-2.56),75,96.15,4.42 (4.00-4.83)
oligodendrocyte progenitor cells 12,3303.0,0.115,86.0,276,37,13.41,1.96 (1.71-2.21),239,86.59,3.88 (3.65-4.11)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,106.0,0.231,28.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA)
astrocytes 15,1401.0,0.279,100.0,96,4,4.17,2.34 (1.47-3.22),92,95.83,3.68 (3.21-4.15)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,91.0,0.32,76.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA)
astrocytes 4,255.0,0.168,49.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,480.0,0.149,29.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
