tipo_celular,module_size,ASXL3_MM,ASXL3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.141,58.0,353,47,13.31,1.93 (1.64-2.22),306,86.69,4.28 (4.10-4.46)
GABA neurons expressing GLU receptors 22,1069.0,0.165,50.0,37,5,13.51,2.19 (1.75-2.64),32,86.49,2.15 (1.61-2.69)
GLU like neurons 17,1316.0,0.07,8.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,209.0,0.453,96.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,676.0,0.049,22.0,110,7,6.36,2.14 (0.95-3.33),103,93.64,5.27 (4.85-5.70)
GABA like neurons 14,3052.0,0.328,100.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.09,64.0,276,39,14.13,1.96 (1.71-2.20),237,85.87,3.88 (3.65-4.11)
oligodendrocytes 10,204.0,0.047,5.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,113.0,0.13,4.0,10,1,10.0,1.82 (NA-NA),9,90.0,3.06 (2.20-3.93)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,39.0,0.311,45.0,3,0,0.0,NA,3,100.0,7.74 (6.69-8.80)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,309.0,0.163,74.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.131,77.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65)
oligodendrocytes 2,804.0,0.123,16.0,84,4,4.76,0.91 (0.25-1.56),80,95.24,2.80 (2.47-3.14)
