tipo_celular,module_size,GNA13_MM,GNA13_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.399,94.0,102,10,9.8,2.58 (1.48-3.68),92,90.2,3.60 (3.22-3.99)
T cells 18,727.0,0.114,27.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,1141.0,0.142,66.0,166,8,4.82,2.36 (0.93-3.79),158,95.18,3.45 (3.20-3.70)
oligodendrocyte progenitor cells 7,4285.0,0.183,98.0,353,16,4.53,1.61 (0.80-2.43),337,95.47,4.03 (3.85-4.21)
GABA neurons expressing GLU receptors 22,714.0,0.136,23.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,685.0,0.091,23.0,135,24,17.78,2.39 (1.68-3.09),111,82.22,3.29 (2.96-3.62)
da like neurons 11,204.0,0.134,29.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.13,70.0,275,21,7.64,1.38 (0.59-2.17),254,92.36,4.14 (3.89-4.39)
oligodendrocytes 20,233.0,0.181,45.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,3052.0,0.154,63.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,1266.0,0.052,16.0,66,13,19.7,2.01 (0.99-3.03),53,80.3,3.59 (3.19-3.99)
oligodendrocyte progenitor cells 12,708.0,0.068,23.0,25,3,12.0,3.51 (0.27-6.75),22,88.0,2.76 (1.72-3.80)
oligodendrocytes 10,2107.0,0.179,62.0,358,21,5.87,1.60 (0.92-2.29),337,94.13,4.04 (3.86-4.23)
connective tissue cells 21,106.0,0.311,65.0,4,1,25.0,NA,3,75.0,4.98 (4.91-5.06)
astrocytes 15,1768.0,0.083,47.0,105,6,5.71,1.20 (0.49-1.91),99,94.29,3.35 (3.01-3.68)
oligodendrocytes 16,87.0,0.21,64.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.424,81.0,120,34,28.33,2.37 (1.83-2.90),86,71.67,3.99 (3.68-4.30)
astrocytes 4,721.0,0.171,84.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,2078.0,0.133,86.0,238,2,0.84,1.37 (-0.91-3.64),236,99.16,3.66 (3.44-3.88)
microglia 1,480.0,0.524,100.0,163,16,9.82,3.79 (3.03-4.55),147,90.18,3.70 (3.42-3.98)
oligodendrocytes 3,854.0,0.085,44.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,1630.0,0.155,77.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
