tipo_celular,module_size,CDH11_MM,CDH11_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,423.0,0.152,50.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,448.0,0.108,25.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,637.0,0.124,34.0,91,17,18.68,3.37 (2.22-4.53),74,81.32,4.93 (4.39-5.48)
da like neurons 11,215.0,0.362,92.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.189,86.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,330.0,0.018,0.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,3052.0,0.21,95.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,577.0,0.098,60.0,83,1,1.2,0.87 (NA-NA),82,98.8,3.29 (2.84-3.74)
oligodendrocyte progenitor cells 12,138.0,0.516,81.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33)
oligodendrocytes 10,806.0,0.072,15.0,261,9,3.45,2.85 (1.91-3.79),252,96.55,4.40 (4.16-4.65)
connective tissue cells 21,139.0,0.1,0.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73)
astrocytes 15,1768.0,0.161,95.0,105,8,7.62,1.53 (0.89-2.17),97,92.38,3.36 (3.02-3.71)
oligodendrocytes 16,108.0,0.146,27.0,5,0,0.0,NA,5,100.0,3.97 (2.94-5.00)
da neurons 6,518.0,0.15,81.0,122,17,13.93,2.16 (0.92-3.40),105,86.07,4.26 (3.88-4.64)
astrocytes microglia 23,125.0,0.247,7.0,3,0,0.0,NA,3,100.0,NA
astrocytes 4,752.0,0.183,91.0,96,3,3.12,4.29 (1.05-7.52),93,96.88,3.25 (2.93-3.57)
oligodendrocytes 0,309.0,0.182,82.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.172,87.0,15,1,6.67,0.39 (NA-NA),14,93.33,3.56 (2.17-4.95)
oligodendrocytes 2,131.0,0.261,82.0,20,1,5.0,6.20 (NA-NA),19,95.0,4.40 (3.65-5.15)
