tipo_celular,module_size,TOM1L2_MM,TOM1L2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.138,30.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,349,0.214,61.0,68,5,7.35,1.57 (0.61-2.53),63,92.65,4.67 (4.13-5.21)
astrocytes 5,222,0.267,75.0,98,1,1.02,0.79 (NA-NA),97,98.98,4.65 (4.24-5.05)
oligodendrocyte progenitor cells 7,4285,0.127,37.0,353,20,5.67,1.70 (1.16-2.23),333,94.33,4.05 (3.87-4.24)
GABA neurons expressing GLU receptors 22,714,0.171,45.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,380,0.199,70.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,853,0.176,74.0,133,9,6.77,1.44 (0.62-2.27),124,93.23,3.41 (3.10-3.73)
GABA neurons expressing GABA receptors 13,88,0.113,14.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,1653,0.167,77.0,297,8,2.69,3.40 (3.19-3.62),289,97.31,3.68 (3.47-3.89)
oligodendrocytes 20,403,0.139,57.0,18,5,27.78,0.56 (0.36-0.76),13,72.22,2.38 (1.61-3.16)
GABA like neurons 14,1300,0.297,88.0,306,15,4.9,1.79 (1.33-2.25),291,95.1,5.33 (5.08-5.58)
astrocytes 8,279,0.347,86.0,78,6,7.69,2.25 (1.94-2.55),72,92.31,4.52 (4.10-4.94)
oligodendrocyte progenitor cells 12,708,0.105,46.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08)
oligodendrocytes 10,806,0.136,42.0,261,10,3.83,2.75 (2.09-3.41),251,96.17,4.42 (4.17-4.66)
connective tissue cells 21,110,0.192,12.0,13,0,0.0,NA,13,100.0,3.11 (2.29-3.94)
astrocytes 15,208,0.423,80.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,74,0.134,18.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,307,0.206,93.0,95,1,1.05,5.16 (NA-NA),94,98.95,4.84 (4.40-5.28)
astrocytes microglia 23,70,0.206,3.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 4,251,0.255,90.0,34,2,5.88,2.42 (2.37-2.47),32,94.12,5.49 (4.93-6.06)
oligodendrocytes 0,1186,0.15,60.0,300,7,2.33,3.25 (2.94-3.55),293,97.67,3.81 (3.60-4.02)
microglia 1,127,0.126,27.0,24,0,0.0,NA,24,100.0,5.17 (4.46-5.87)
oligodendrocytes 3,1003,0.114,67.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,348,0.169,37.0,114,0,0.0,NA,114,100.0,5.11 (4.70-5.52)
