tipo_celular,module_size,CSAD_MM,CSAD_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.213,49.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,282.0,0.124,32.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31)
astrocytes 5,1141.0,0.103,17.0,166,5,3.01,1.57 (0.42-2.71),161,96.99,3.46 (3.21-3.71)
oligodendrocyte progenitor cells 7,4285.0,0.132,45.0,353,8,2.27,1.29 (0.53-2.05),345,97.73,3.97 (3.78-4.15)
GABA neurons expressing GLU receptors 22,459.0,0.139,41.0,165,0,0.0,NA,165,100.0,5.06 (4.72-5.41)
GLU like neurons 17,1247.0,0.098,23.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,408.0,0.071,6.0,25,1,4.0,0.26 (NA-NA),24,96.0,4.84 (3.54-6.14)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.156,71.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,938.0,0.057,15.0,169,3,1.78,1.62 (-0.18-3.42),166,98.22,3.52 (3.30-3.74)
GABA like neurons 14,2090.0,0.226,89.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,260.0,0.157,67.0,4,1,25.0,0.26 (NA-NA),3,75.0,2.86 (1.07-4.66)
oligodendrocyte progenitor cells 12,3303.0,0.098,72.0,276,5,1.81,1.79 (0.82-2.75),271,98.19,3.58 (3.37-3.80)
oligodendrocytes 10,1277.0,0.123,60.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,111.0,0.296,52.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.111,72.0,105,6,5.71,1.52 (0.58-2.47),99,94.29,3.32 (2.98-3.66)
oligodendrocytes 16,155.0,0.207,43.0,8,0,0.0,NA,8,100.0,2.72 (-0.13-5.56)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,134.0,0.245,14.0,2,1,50.0,3.34 (NA-NA),1,50.0,0.82 (NA-NA)
astrocytes 4,721.0,0.166,77.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,1186.0,0.141,43.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,958.0,0.083,10.0,290,0,0.0,NA,290,100.0,3.81 (3.58-4.04)
oligodendrocytes 3,639.0,0.099,52.0,15,3,20.0,1.25 (-0.07-2.56),12,80.0,3.93 (2.38-5.49)
oligodendrocytes 2,804.0,0.161,59.0,84,4,4.76,1.13 (0.16-2.09),80,95.24,2.79 (2.45-3.13)
