tipo_celular,module_size,CPPED1_MM,CPPED1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.374,98.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,229.0,0.175,42.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,1247.0,0.089,18.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,215.0,0.271,74.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.299,67.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,348.0,0.098,43.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,3052.0,0.063,4.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.119,54.0,25,0,0.0,NA,25,100.0,2.87 (1.90-3.84)
oligodendrocytes 10,2107.0,0.09,23.0,358,10,2.79,1.35 (0.63-2.06),348,97.21,3.96 (3.77-4.15)
connective tissue cells 21,102.0,0.321,62.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,158.0,0.138,8.0,30,0,0.0,NA,30,100.0,2.33 (1.68-2.98)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,127.0,0.241,17.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,1186.0,0.118,14.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,813.0,0.106,37.0,79,3,3.8,2.87 (2.25-3.49),76,96.2,3.11 (2.69-3.53)
oligodendrocytes 3,187.0,0.109,54.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,407.0,0.094,4.0,122,9,7.38,1.39 (0.60-2.18),113,92.62,3.53 (3.14-3.93)
