tipo_celular,module_size,GDPD1_MM,GDPD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.104,42.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10)
oligodendrocyte progenitor cells 7,4285.0,0.112,19.0,353,16,4.53,1.86 (0.96-2.75),337,95.47,4.02 (3.84-4.20)
GABA neurons expressing GLU receptors 22,823.0,0.159,38.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,1247.0,0.286,97.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853.0,0.188,80.0,133,7,5.26,0.55 (0.36-0.73),126,94.74,3.43 (3.13-3.74)
GABA neurons expressing GABA receptors 13,65.0,0.119,19.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,330.0,0.278,83.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,2090.0,0.232,91.0,74,2,2.7,2.53 (NA-NA),72,97.3,2.95 (2.57-3.33)
astrocytes 8,1266.0,0.078,46.0,66,6,9.09,0.50 (0.30-0.70),60,90.91,3.55 (3.17-3.93)
oligodendrocyte progenitor cells 12,3303.0,0.036,5.0,276,12,4.35,3.41 (2.48-4.34),264,95.65,3.55 (3.32-3.77)
oligodendrocytes 10,1277.0,0.032,4.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,208.0,0.032,8.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,149.0,0.168,36.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,96.0,0.293,33.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA)
astrocytes 4,787.0,0.151,49.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.102,25.0,238,2,0.84,1.37 (-0.91-3.64),236,99.16,3.66 (3.44-3.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.071,22.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.137,39.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
