tipo_celular,module_size,CD55_MM,CD55_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.26,81.0,73,11,15.07,4.02 (3.22-4.82),62,84.93,3.47 (3.09-3.85)
T cells 18,477.0,0.24,87.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,567.0,0.421,93.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,637.0,0.118,31.0,91,9,9.89,0.86 (0.32-1.40),82,90.11,5.11 (4.66-5.55)
da like neurons 11,142.0,0.132,22.0,2,1,50.0,4.56 (NA-NA),1,50.0,NA
GABA neurons expressing GABA receptors 13,65.0,0.147,41.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59)
endothelial cells 9,412.0,0.271,83.0,141,9,6.38,3.28 (1.97-4.58),132,93.62,2.94 (2.70-3.18)
oligodendrocytes 20,358.0,0.213,76.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,3052.0,0.093,14.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,735.0,0.064,24.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,151.0,0.155,22.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,228.0,0.11,63.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,327.0,0.345,56.0,120,60,50.0,2.93 (2.57-3.28),60,50.0,4.36 (3.96-4.76)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,479.0,0.173,65.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,480.0,0.268,79.0,163,19,11.66,3.45 (3.08-3.82),144,88.34,3.74 (3.45-4.04)
oligodendrocytes 3,1003.0,0.19,94.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65)
oligodendrocytes 2,921.0,0.134,43.0,200,3,1.5,1.77 (1.25-2.29),197,98.5,3.66 (3.39-3.92)
