tipo_celular,module_size,TCP1_MM,TCP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.35,99.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,506.0,0.104,13.0,225,25,11.11,2.72 (2.02-3.42),200,88.89,3.74 (3.48-4.00)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,666.0,0.326,93.0,127,23,18.11,3.56 (2.40-4.72),104,81.89,3.89 (3.56-4.22)
GABA neurons expressing GLU receptors 22,848.0,0.136,17.0,262,32,12.21,3.46 (2.75-4.17),230,87.79,4.27 (4.01-4.53)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.22,63.0,410,62,15.12,4.35 (3.72-4.98),348,84.88,4.23 (4.04-4.43)
GABA neurons expressing GABA receptors 13,73.0,0.219,84.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17)
endothelial cells 9,385.0,0.193,90.0,275,106,38.55,3.35 (2.88-3.83),169,61.45,4.33 (4.05-4.62)
oligodendrocytes 20,271.0,0.103,16.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2402.0,0.294,65.0,455,63,13.85,3.41 (2.78-4.03),392,86.15,4.49 (4.31-4.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.055,20.0,276,47,17.03,2.16 (1.84-2.47),229,82.97,3.89 (3.65-4.12)
oligodendrocytes 10,735.0,0.192,86.0,277,33,11.91,6.44 (5.79-7.09),244,88.09,3.76 (3.52-4.00)
connective tissue cells 21,139.0,0.354,76.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,121.0,0.176,20.0,3,1,33.33,2.62 (NA-NA),2,66.67,3.09 (0.39-5.80)
da neurons 6,409.0,0.167,69.0,235,56,23.83,4.88 (4.28-5.49),179,76.17,3.76 (3.50-4.02)
astrocytes microglia 23,103.0,0.255,17.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,613.0,0.158,65.0,127,44,34.65,3.00 (2.38-3.62),83,65.35,3.07 (2.55-3.59)
microglia 1,958.0,0.155,92.0,290,46,15.86,3.97 (3.33-4.61),244,84.14,3.78 (3.54-4.02)
oligodendrocytes 3,457.0,0.111,48.0,345,77,22.32,4.62 (4.14-5.10),268,77.68,4.19 (3.96-4.42)
oligodendrocytes 2,528.0,0.204,52.0,175,55,31.43,5.21 (4.56-5.87),120,68.57,4.12 (3.72-4.51)
