tipo_celular,module_size,NLRP1_MM,NLRP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.2,60.0,73,15,20.55,4.22 (3.71-4.73),58,79.45,3.35 (2.94-3.76)
T cells 18,727.0,0.101,18.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,296.0,0.164,37.0,251,7,2.79,3.04 (2.69-3.40),244,97.21,4.08 (3.84-4.32)
GABA neurons expressing GLU receptors 22,848.0,0.346,84.0,262,31,11.83,2.65 (2.14-3.16),231,88.17,4.37 (4.11-4.63)
GLU like neurons 17,1247.0,0.214,87.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,168.0,0.528,100.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,265.0,0.309,92.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77)
endothelial cells 9,658.0,0.173,38.0,120,13,10.83,3.33 (2.53-4.13),107,89.17,4.79 (4.46-5.12)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.542,92.0,455,37,8.13,1.95 (1.53-2.38),418,91.87,4.60 (4.42-4.78)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.059,25.0,235,1,0.43,4.40 (NA-NA),234,99.57,3.82 (3.59-4.05)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.188,93.0,43,1,2.33,3.78 (NA-NA),42,97.67,3.27 (2.73-3.80)
astrocytes microglia 23,161.0,0.245,10.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,1615.0,0.153,91.0,161,42,26.09,1.98 (1.62-2.34),119,73.91,3.86 (3.57-4.14)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
