tipo_celular,module_size,SIPA1L2_MM,SIPA1L2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.308,83.0,102,2,1.96,1.45 (0.47-2.42),100,98.04,3.54 (3.18-3.91)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.212,68.0,58,0,0.0,NA,58,100.0,4.17 (3.75-4.60)
oligodendrocyte progenitor cells 7,4285.0,0.177,96.0,353,6,1.7,2.34 (0.53-4.15),347,98.3,3.92 (3.74-4.11)
GABA neurons expressing GLU receptors 22,192.0,0.113,38.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44)
GLU like neurons 17,795.0,0.165,66.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,101.0,0.31,68.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,200.0,0.187,72.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76)
endothelial cells 9,1653.0,0.145,64.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,250.0,0.043,12.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,3052.0,0.142,53.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,577.0,0.098,60.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70)
oligodendrocyte progenitor cells 12,708.0,0.072,30.0,32,1,3.12,0.26 (NA-NA),31,96.88,3.36 (2.55-4.16)
oligodendrocytes 10,2107.0,0.134,45.0,358,9,2.51,3.03 (1.65-4.40),349,97.49,3.89 (3.69-4.08)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.115,74.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,85.0,0.162,16.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.137,56.0,124,0,0.0,NA,124,100.0,4.18 (3.79-4.58)
astrocytes microglia 23,253.0,0.207,24.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17)
astrocytes 4,514.0,0.214,65.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79)
oligodendrocytes 0,2078.0,0.115,52.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,480.0,0.186,48.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,854.0,0.082,41.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11)
oligodendrocytes 2,1630.0,0.12,13.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
