tipo_celular,module_size,DOCK2_MM,DOCK2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.158,46.0,32,9,28.12,4.80 (3.61-5.99),23,71.88,3.19 (2.26-4.11)
T cells 18,388.0,0.192,69.0,84,3,3.57,3.65 (3.57-3.74),81,96.43,2.96 (2.62-3.29)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,298.0,0.169,61.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,3052.0,0.178,81.0,125,1,0.8,NA,124,99.2,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,2107.0,0.568,100.0,358,29,8.1,1.81 (1.26-2.36),329,91.9,4.07 (3.89-4.26)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,108.0,0.322,91.0,5,4,80.0,4.09 (2.79-5.38),1,20.0,3.52 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,229.0,0.342,67.0,99,15,15.15,4.89 (3.81-5.97),84,84.85,4.20 (3.85-4.54)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,86.0,0.19,65.0,2,0,0.0,NA,2,100.0,NA
microglia 1,315.0,0.141,36.0,144,18,12.5,4.26 (3.36-5.16),126,87.5,4.49 (4.16-4.81)
oligodendrocytes 3,743.0,0.123,86.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,348.0,0.202,53.0,114,20,17.54,4.34 (3.64-5.03),94,82.46,5.35 (4.87-5.83)
