tipo_celular,module_size,ZMYM4_MM,ZMYM4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500,0.207,70.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,506,0.238,65.0,225,4,1.78,1.27 (0.76-1.78),221,98.22,3.67 (3.42-3.92)
astrocytes 5,1141,0.114,27.0,166,2,1.2,0.38 (0.04-0.71),164,98.8,3.44 (3.19-3.68)
oligodendrocyte progenitor cells 7,448,0.232,83.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,400,0.21,57.0,24,0,0.0,NA,24,100.0,2.16 (1.65-2.67)
GLU like neurons 17,637,0.06,6.0,91,9,9.89,2.60 (1.60-3.61),82,90.11,4.84 (4.29-5.38)
da like neurons 11,200,0.174,45.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,77,0.229,90.0,8,0,0.0,NA,8,100.0,3.16 (2.15-4.16)
endothelial cells 9,916,0.172,39.0,302,2,0.66,0.97 (-0.53-2.46),300,99.34,4.01 (3.78-4.23)
oligodendrocytes 20,221,0.145,26.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,1300,0.158,26.0,306,14,4.58,3.08 (1.80-4.35),292,95.42,5.23 (4.97-5.49)
astrocytes 8,283,0.03,3.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,153,0.472,78.0,27,0,0.0,NA,27,100.0,4.76 (3.76-5.76)
oligodendrocytes 10,483,0.224,74.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,101,0.23,26.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 15,443,0.15,48.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55)
oligodendrocytes 16,158,0.227,70.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02)
da neurons 6,729,0.114,31.0,182,1,0.55,1.55 (NA-NA),181,99.45,3.65 (3.40-3.90)
astrocytes microglia 23,137,0.206,8.0,188,3,1.6,1.11 (0.53-1.69),185,98.4,4.42 (4.08-4.75)
astrocytes 4,752,0.164,65.0,96,1,1.04,4.57 (NA-NA),95,98.96,3.27 (2.94-3.61)
oligodendrocytes 0,1186,0.11,9.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,813,0.124,59.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,639,0.07,26.0,15,1,6.67,2.23 (NA-NA),14,93.33,3.40 (1.93-4.88)
oligodendrocytes 2,804,0.105,6.0,84,4,4.76,1.48 (0.62-2.34),80,95.24,2.77 (2.42-3.11)
