tipo_celular,module_size,CREM_MM,CREM_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.515,99.0,102,23,22.55,2.17 (1.73-2.61),79,77.45,3.91 (3.50-4.33)
T cells 18,518.0,0.328,99.0,131,4,3.05,3.00 (2.03-3.97),127,96.95,3.08 (2.79-3.36)
astrocytes 5,423.0,0.155,53.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,436.0,0.057,7.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,599.0,0.237,65.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,685.0,0.093,24.0,135,22,16.3,1.64 (1.30-1.99),113,83.7,3.56 (3.23-3.89)
da like neurons 11,82.0,0.204,38.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.259,80.0,141,12,8.51,2.37 (1.72-3.01),129,91.49,3.02 (2.76-3.27)
oligodendrocytes 20,358.0,0.332,94.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,3052.0,0.141,52.0,125,1,0.8,3.74 (NA-NA),124,99.2,3.35 (3.02-3.67)
astrocytes 8,577.0,0.096,59.0,83,5,6.02,2.10 (0.92-3.27),78,93.98,3.32 (2.86-3.79)
oligodendrocyte progenitor cells 12,143.0,0.405,32.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,2107.0,0.083,19.0,358,59,16.48,2.05 (1.74-2.36),299,83.52,4.36 (4.18-4.54)
connective tissue cells 21,102.0,0.177,3.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,443.0,0.119,25.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55)
oligodendrocytes 16,104.0,0.173,22.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.665,99.0,120,16,13.33,1.65 (1.24-2.06),104,86.67,3.99 (3.70-4.28)
astrocytes 4,514.0,0.195,57.0,95,6,6.32,1.30 (0.81-1.78),89,93.68,3.52 (3.09-3.95)
oligodendrocytes 0,2078.0,0.1,21.0,238,11,4.62,2.39 (1.82-2.97),227,95.38,3.71 (3.48-3.93)
microglia 1,480.0,0.504,100.0,163,4,2.45,2.33 (2.07-2.59),159,97.55,3.75 (3.48-4.02)
oligodendrocytes 3,854.0,0.107,69.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19)
oligodendrocytes 2,1630.0,0.133,32.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
