tipo_celular,module_size,MAN1A1_MM,MAN1A1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.403,99.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,727.0,0.259,99.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,1141.0,0.119,32.0,166,15,9.04,2.27 (1.55-2.98),151,90.96,3.53 (3.27-3.79)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,703.0,0.365,99.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82)
GLU like neurons 17,1316.0,0.17,84.0,101,3,2.97,3.19 (2.31-4.07),98,97.03,3.05 (2.68-3.41)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.192,57.0,141,1,0.71,5.34 (NA-NA),140,99.29,2.94 (2.70-3.18)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.211,95.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,262.0,0.169,64.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,152.0,0.221,27.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52)
astrocytes 15,1401.0,0.092,56.0,96,2,2.08,2.86 (1.17-4.54),94,97.92,3.63 (3.17-4.09)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.253,23.0,120,20,16.67,2.39 (1.68-3.10),100,83.33,3.85 (3.54-4.16)
astrocytes 4,787.0,0.123,9.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,480.0,0.34,92.0,163,1,0.61,1.94 (NA-NA),162,99.39,3.72 (3.45-3.99)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
