tipo_celular,module_size,RNF146_MM,RNF146_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.15,33.0,73,5,6.85,3.85 (3.44-4.27),68,93.15,3.54 (3.16-3.91)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.121,58.0,136,2,1.47,2.73 (1.22-4.24),134,98.53,3.22 (2.94-3.49)
oligodendrocyte progenitor cells 7,4285.0,0.164,90.0,353,44,12.46,2.49 (2.02-2.96),309,87.54,4.12 (3.93-4.30)
GABA neurons expressing GLU receptors 22,823.0,0.177,49.0,23,4,17.39,2.59 (1.55-3.63),19,82.61,2.34 (1.44-3.24)
GLU like neurons 17,1316.0,0.128,54.0,101,2,1.98,2.76 (2.30-3.22),99,98.02,3.06 (2.70-3.42)
da like neurons 11,89.0,0.178,32.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.06,5.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,938.0,0.09,32.0,169,14,8.28,3.32 (2.47-4.16),155,91.72,3.50 (3.27-3.72)
GABA like neurons 14,3052.0,0.179,82.0,125,6,4.8,3.28 (2.73-3.82),119,95.2,3.35 (3.02-3.68)
astrocytes 8,727.0,0.063,20.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.063,31.0,276,37,13.41,2.76 (2.30-3.22),239,86.59,3.68 (3.44-3.91)
oligodendrocytes 10,2107.0,0.037,3.0,358,51,14.25,2.45 (1.99-2.91),307,85.75,4.14 (3.95-4.33)
connective tissue cells 21,118.0,0.317,64.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24)
astrocytes 15,208.0,0.046,23.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,81.0,0.193,57.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,109.0,0.277,26.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.153,65.0,104,24,23.08,2.29 (1.83-2.75),80,76.92,3.05 (2.72-3.38)
oligodendrocytes 0,2078.0,0.133,87.0,238,16,6.72,3.37 (2.60-4.14),222,93.28,3.65 (3.42-3.88)
microglia 1,1615.0,0.101,36.0,161,40,24.84,2.40 (1.90-2.91),121,75.16,3.58 (3.28-3.87)
oligodendrocytes 3,743.0,0.102,74.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.13,27.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
