tipo_celular,module_size,THRA_MM,THRA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.102,40.0,80,2,2.5,4.37 (4.37-4.37),78,97.5,3.65 (3.23-4.07)
oligodendrocyte progenitor cells 7,628.0,0.116,15.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,703.0,0.171,42.0,23,2,8.7,1.50 (0.87-2.12),21,91.3,2.15 (1.37-2.93)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,408.0,0.132,36.0,25,9,36.0,1.84 (0.86-2.81),16,64.0,6.89 (5.92-7.86)
GABA neurons expressing GABA receptors 13,200.0,0.183,70.0,34,3,8.82,3.58 (3.41-3.75),31,91.18,3.93 (2.92-4.94)
endothelial cells 9,916.0,0.074,6.0,302,2,0.66,0.97 (-0.53-2.46),300,99.34,4.01 (3.78-4.23)
oligodendrocytes 20,271.0,0.191,58.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2402.0,0.323,70.0,455,28,6.15,1.66 (1.25-2.06),427,93.85,4.58 (4.41-4.76)
astrocytes 8,1266.0,0.062,28.0,66,26,39.39,2.27 (1.68-2.87),40,60.61,4.02 (3.60-4.45)
oligodendrocyte progenitor cells 12,708.0,0.134,60.0,32,11,34.38,1.65 (0.87-2.43),21,65.62,4.28 (3.32-5.24)
oligodendrocytes 10,236.0,0.044,1.0,82,5,6.1,3.10 (2.63-3.58),77,93.9,5.15 (4.61-5.70)
connective tissue cells 21,104.0,0.394,95.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09)
astrocytes 15,1401.0,0.042,10.0,96,10,10.42,2.67 (1.86-3.47),86,89.58,3.73 (3.24-4.22)
oligodendrocytes 16,107.0,0.225,53.0,11,3,27.27,1.55 (0.13-2.97),8,72.73,1.46 (0.64-2.28)
da neurons 6,448.0,0.177,92.0,43,5,11.63,3.90 (3.68-4.13),38,88.37,3.18 (2.58-3.78)
astrocytes microglia 23,135.0,0.332,59.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.162,71.0,61,4,6.56,2.35 (1.65-3.06),57,93.44,3.01 (2.57-3.45)
oligodendrocytes 0,613.0,0.144,52.0,127,20,15.75,2.39 (1.96-2.82),107,84.25,3.24 (2.73-3.75)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.094,49.0,87,58,66.67,2.39 (2.11-2.66),29,33.33,3.07 (2.46-3.69)
oligodendrocytes 2,528.0,0.143,15.0,175,4,2.29,2.42 (1.44-3.41),171,97.71,4.43 (4.08-4.78)
