tipo_celular,module_size,ADAM10_MM,ADAM10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,125.0,0.165,21.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA)
T cells 18,393.0,0.188,69.0,59,5,8.47,3.67 (2.60-4.74),54,91.53,3.05 (2.51-3.59)
astrocytes 5,1141.0,0.135,55.0,166,28,16.87,2.35 (1.91-2.78),138,83.13,3.66 (3.38-3.93)
oligodendrocyte progenitor cells 7,229.0,0.169,40.0,45,7,15.56,5.24 (4.85-5.63),38,84.44,4.95 (4.18-5.71)
GABA neurons expressing GLU receptors 22,1069.0,0.203,77.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60)
GLU like neurons 17,637.0,0.117,31.0,91,20,21.98,2.27 (1.38-3.17),71,78.02,5.43 (5.00-5.86)
da like neurons 11,204.0,0.275,80.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.231,60.0,120,36,30.0,3.94 (3.44-4.45),84,70.0,4.95 (4.58-5.33)
oligodendrocytes 20,676.0,0.54,83.0,110,19,17.27,3.45 (2.73-4.17),91,82.73,5.49 (5.01-5.97)
GABA like neurons 14,3052.0,0.18,83.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,771.0,0.34,85.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708.0,0.211,78.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,236.0,0.407,29.0,82,13,15.85,4.99 (4.00-5.97),69,84.15,5.00 (4.39-5.60)
connective tissue cells 21,126.0,0.21,12.0,7,1,14.29,0.82 (NA-NA),6,85.71,1.64 (0.49-2.79)
astrocytes 15,443.0,0.133,36.0,9,3,33.33,2.04 (-0.10-4.18),6,66.67,3.68 (2.17-5.18)
oligodendrocytes 16,287.0,0.457,92.0,105,29,27.62,3.77 (3.03-4.51),76,72.38,5.94 (5.56-6.33)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,229.0,0.27,40.0,99,14,14.14,4.86 (4.05-5.67),85,85.86,4.19 (3.83-4.56)
astrocytes 4,721.0,0.15,48.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44)
oligodendrocytes 0,261.0,0.205,65.0,42,9,21.43,1.72 (1.03-2.41),33,78.57,4.98 (4.39-5.57)
microglia 1,315.0,0.173,50.0,144,11,7.64,4.47 (3.15-5.80),133,92.36,4.46 (4.15-4.77)
oligodendrocytes 3,127.0,0.28,60.0,45,8,17.78,2.39 (1.78-3.01),37,82.22,5.17 (4.21-6.13)
oligodendrocytes 2,347.0,0.118,6.0,15,1,6.67,6.09 (NA-NA),14,93.33,4.62 (3.89-5.35)
