tipo_celular,module_size,CAPNS1_MM,CAPNS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,282.0,0.211,75.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.199,56.0,410,20,4.88,3.81 (2.77-4.85),390,95.12,4.27 (4.08-4.46)
GABA neurons expressing GABA receptors 13,357.0,0.086,7.0,237,7,2.95,5.66 (4.47-6.86),230,97.05,4.36 (4.13-4.60)
endothelial cells 9,559.0,0.18,59.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,233.0,0.122,15.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,2402.0,0.292,64.0,455,28,6.15,2.90 (1.99-3.81),427,93.85,4.45 (4.27-4.63)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,735.0,0.21,91.0,277,2,0.72,3.93 (3.46-4.40),275,99.28,3.89 (3.65-4.14)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,121.0,0.162,12.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53)
da neurons 6,300.0,0.115,32.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67)
astrocytes microglia 23,86.0,0.274,28.0,1,1,100.0,1.71 (NA-NA),0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.084,5.0,252,23,9.13,2.11 (1.44-2.77),229,90.87,4.31 (4.06-4.56)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.122,55.0,345,16,4.64,4.55 (3.50-5.61),329,95.36,4.26 (4.05-4.47)
oligodendrocytes 2,526.0,0.176,23.0,213,2,0.94,3.93 (3.46-4.40),211,99.06,3.98 (3.70-4.26)
