tipo_celular,module_size,RPL3_MM,RPL3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.325,65.0,98,29,29.59,2.73 (2.19-3.28),69,70.41,3.44 (2.80-4.08)
T cells 18,506.0,0.608,99.0,225,30,13.33,2.89 (2.34-3.44),195,86.67,3.73 (3.46-4.00)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,448.0,0.319,92.0,108,9,8.33,3.57 (3.00-4.15),99,91.67,3.22 (2.74-3.70)
GABA neurons expressing GLU receptors 22,487.0,0.396,92.0,73,16,21.92,2.79 (2.13-3.45),57,78.08,2.74 (2.28-3.21)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.176,49.0,410,23,5.61,3.06 (2.46-3.65),387,94.39,4.32 (4.12-4.51)
GABA neurons expressing GABA receptors 13,417.0,0.16,49.0,213,40,18.78,2.31 (1.81-2.81),173,81.22,4.13 (3.88-4.37)
endothelial cells 9,916.0,0.568,97.0,302,14,4.64,3.49 (2.71-4.27),288,95.36,4.01 (3.77-4.24)
oligodendrocytes 20,938.0,0.238,88.0,169,25,14.79,3.09 (2.44-3.73),144,85.21,3.54 (3.31-3.77)
GABA like neurons 14,2402.0,0.583,94.0,455,42,9.23,2.16 (1.70-2.62),413,90.77,4.60 (4.42-4.78)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.434,97.0,235,18,7.66,3.60 (3.17-4.03),217,92.34,3.84 (3.59-4.09)
oligodendrocytes 10,483.0,0.526,98.0,129,14,10.85,3.77 (3.30-4.24),115,89.15,3.39 (2.95-3.82)
connective tissue cells 21,301.0,0.538,84.0,158,15,9.49,2.65 (1.95-3.35),143,90.51,4.50 (4.11-4.88)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,96.0,0.244,59.0,102,38,37.25,2.38 (1.93-2.83),64,62.75,3.91 (3.53-4.30)
da neurons 6,729.0,0.267,91.0,182,18,9.89,2.77 (2.12-3.41),164,90.11,3.73 (3.47-4.00)
astrocytes microglia 23,137.0,0.552,93.0,188,34,18.09,2.36 (1.91-2.82),154,81.91,4.99 (4.65-5.33)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.305,90.0,252,42,16.67,2.31 (1.83-2.78),210,83.33,4.50 (4.25-4.74)
microglia 1,406.0,0.541,93.0,278,8,2.88,3.69 (3.08-4.30),270,97.12,4.39 (4.11-4.67)
oligodendrocytes 3,303.0,0.249,87.0,154,11,7.14,3.70 (3.13-4.26),143,92.86,3.61 (3.27-3.95)
oligodendrocytes 2,526.0,0.476,91.0,213,8,3.76,3.69 (3.08-4.30),205,96.24,3.99 (3.71-4.28)
