tipo_celular,module_size,EXTL2_MM,EXTL2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.142,88.0,136,5,3.68,3.76 (3.68-3.85),131,96.32,3.18 (2.90-3.47)
oligodendrocyte progenitor cells 7,4285.0,0.108,15.0,353,24,6.8,1.66 (1.21-2.12),329,93.2,4.10 (3.93-4.28)
GABA neurons expressing GLU receptors 22,703.0,0.2,59.0,23,2,8.7,1.85 (0.53-3.17),21,91.3,2.12 (1.34-2.89)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.202,58.0,410,15,3.66,3.26 (2.77-3.76),395,96.34,4.30 (4.11-4.49)
GABA neurons expressing GABA receptors 13,357.0,0.209,70.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,250.0,0.034,8.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,3052.0,0.207,94.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,520.0,0.038,5.0,288,10,3.47,2.79 (2.03-3.55),278,96.53,4.24 (4.04-4.44)
oligodendrocyte progenitor cells 12,3303.0,0.125,91.0,276,17,6.16,2.32 (1.81-2.82),259,93.84,3.65 (3.42-3.88)
oligodendrocytes 10,806.0,0.168,54.0,261,8,3.07,3.01 (2.27-3.75),253,96.93,4.42 (4.18-4.67)
connective tissue cells 21,136.0,0.449,98.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,367.0,0.258,96.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,74.0,0.381,100.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,228.0,0.133,75.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,49.0,0.333,42.0,1,0,0.0,NA,1,100.0,6.09 (NA-NA)
astrocytes 4,1807.0,0.158,75.0,104,20,19.23,2.26 (1.71-2.81),84,80.77,3.02 (2.71-3.34)
oligodendrocytes 0,2078.0,0.09,9.0,238,4,1.68,1.71 (0.59-2.83),234,98.32,3.68 (3.45-3.90)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.087,33.0,345,4,1.16,2.62 (1.58-3.66),341,98.84,4.30 (4.09-4.51)
oligodendrocytes 2,1630.0,0.137,39.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
