tipo_celular,module_size,ATP6V1A_MM,ATP6V1A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.122,22.0,19,7,36.84,3.96 (3.77-4.15),12,63.16,1.68 (0.88-2.48)
T cells 18,282,0.276,84.0,241,32,13.28,4.39 (3.83-4.96),209,86.72,4.00 (3.72-4.28)
astrocytes 5,228,0.155,41.0,266,98,36.84,3.63 (3.30-3.96),168,63.16,4.48 (4.22-4.73)
oligodendrocyte progenitor cells 7,296,0.181,52.0,251,20,7.97,3.67 (3.06-4.27),231,92.03,4.10 (3.85-4.35)
GABA neurons expressing GLU receptors 22,848,0.28,72.0,262,36,13.74,3.54 (2.90-4.18),226,86.26,4.28 (4.01-4.54)
GLU like neurons 17,1316,0.248,99.0,101,11,10.89,4.96 (4.01-5.92),90,89.11,2.87 (2.52-3.21)
da like neurons 11,1220,0.214,61.0,410,75,18.29,3.93 (3.56-4.30),335,81.71,4.33 (4.11-4.54)
GABA neurons expressing GABA receptors 13,357,0.242,79.0,237,44,18.57,4.86 (4.50-5.22),193,81.43,4.29 (4.02-4.57)
endothelial cells 9,338,0.2,73.0,191,58,30.37,4.32 (3.96-4.68),133,69.63,3.67 (3.40-3.95)
oligodendrocytes 20,298,0.141,49.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,2402,0.272,60.0,455,71,15.6,3.42 (2.95-3.89),384,84.4,4.54 (4.34-4.73)
astrocytes 8,520,0.21,72.0,288,71,24.65,4.00 (3.61-4.38),217,75.35,4.23 (4.00-4.47)
oligodendrocyte progenitor cells 12,3303,0.083,57.0,276,28,10.14,2.51 (2.00-3.02),248,89.86,3.69 (3.46-3.92)
oligodendrocytes 10,806,0.28,76.0,261,60,22.99,4.10 (3.75-4.46),201,77.01,4.45 (4.15-4.74)
connective tissue cells 21,101,0.22,13.0,116,28,24.14,3.16 (2.62-3.70),88,75.86,5.08 (4.62-5.55)
astrocytes 15,1401,0.072,36.0,96,3,3.12,2.02 (1.81-2.24),93,96.88,3.68 (3.21-4.14)
oligodendrocytes 16,313,0.373,84.0,291,88,30.24,4.09 (3.78-4.41),203,69.76,4.45 (4.15-4.75)
da neurons 6,300,0.372,95.0,159,10,6.29,4.43 (3.73-5.13),149,93.71,4.36 (4.03-4.69)
astrocytes microglia 23,327,0.259,24.0,120,29,24.17,2.24 (1.70-2.78),91,75.83,4.03 (3.73-4.33)
astrocytes 4,514,0.165,39.0,95,6,6.32,1.79 (0.75-2.82),89,93.68,3.51 (3.08-3.94)
oligodendrocytes 0,116,0.097,16.0,169,25,14.79,4.16 (3.40-4.92),144,85.21,4.30 (3.97-4.62)
microglia 1,214,0.142,33.0,227,50,22.03,4.04 (3.62-4.47),177,77.97,4.10 (3.83-4.38)
oligodendrocytes 3,457,0.13,59.0,345,79,22.9,4.29 (3.94-4.65),266,77.1,4.27 (4.01-4.52)
oligodendrocytes 2,921,0.124,28.0,200,6,3.0,3.49 (1.73-5.24),194,97.0,3.63 (3.36-3.90)
