tipo_celular,module_size,CYB5A_MM,CYB5A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.178,41.0,302,25,8.28,3.37 (2.87-3.88),277,91.72,4.05 (3.80-4.29)
oligodendrocytes 20,938.0,0.145,59.0,169,15,8.88,2.81 (2.04-3.58),154,91.12,3.54 (3.32-3.77)
GABA like neurons 14,2402.0,0.251,56.0,455,31,6.81,2.51 (1.93-3.09),424,93.19,4.51 (4.32-4.69)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,735.0,0.087,44.0,277,1,0.36,4.47 (NA-NA),276,99.64,3.89 (3.65-4.13)
connective tissue cells 21,103.0,0.319,74.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,78.0,0.22,63.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,729.0,0.092,18.0,182,9,4.95,3.54 (2.78-4.29),173,95.05,3.64 (3.38-3.90)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.086,6.0,252,34,13.49,2.63 (2.07-3.18),218,86.51,4.38 (4.12-4.63)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.088,59.0,76,5,6.58,3.76 (3.68-3.85),71,93.42,3.11 (2.69-3.54)
oligodendrocytes 2,526.0,0.172,21.0,213,15,7.04,3.89 (3.26-4.53),198,92.96,3.98 (3.69-4.28)
