tipo_celular,module_size,AIF1L_MM,AIF1L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.281,80.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,938.0,0.189,77.0,169,15,8.88,2.96 (1.79-4.12),154,91.12,3.52 (3.30-3.74)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,1277.0,0.104,48.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,65.0,0.215,60.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.091,7.0,252,19,7.54,2.27 (1.27-3.27),233,92.46,4.22 (3.98-4.47)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.054,12.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,526.0,0.254,48.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
