tipo_celular,module_size,POMT2_MM,POMT2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.136,82.0,136,8,5.88,2.94 (2.14-3.74),128,94.12,3.23 (2.94-3.51)
oligodendrocyte progenitor cells 7,4285.0,0.126,35.0,353,31,8.78,1.89 (1.48-2.30),322,91.22,4.15 (3.97-4.33)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,676.0,0.043,16.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44)
GABA like neurons 14,3052.0,0.117,31.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,218.0,0.051,25.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,3303.0,0.065,33.0,276,20,7.25,2.15 (1.75-2.54),256,92.75,3.69 (3.46-3.92)
oligodendrocytes 10,1277.0,0.074,26.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.11,71.0,105,21,20.0,2.20 (1.73-2.66),84,80.0,3.49 (3.11-3.88)
oligodendrocytes 16,92.0,0.23,61.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,92.0,0.226,11.0,11,0,0.0,NA,11,100.0,4.35 (3.80-4.91)
astrocytes 4,1807.0,0.167,87.0,104,24,23.08,2.34 (1.88-2.81),80,76.92,3.03 (2.70-3.37)
oligodendrocytes 0,2078.0,0.119,59.0,238,6,2.52,2.46 (1.55-3.37),232,97.48,3.67 (3.45-3.90)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.054,8.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.137,39.0,154,1,0.65,4.40 (NA-NA),153,99.35,3.24 (2.97-3.50)
