tipo_celular,module_size,MTOR_MM,MTOR_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395,0.107,14.0,97,6,6.19,4.21 (2.64-5.79),91,93.81,2.96 (2.56-3.36)
T cells 18,610,0.163,59.0,98,59,60.2,2.65 (2.28-3.02),39,39.8,4.03 (3.59-4.47)
astrocytes 5,932,0.113,56.0,80,16,20.0,5.73 (4.59-6.86),64,80.0,3.39 (3.00-3.78)
oligodendrocyte progenitor cells 7,4285,0.115,22.0,353,107,30.31,2.88 (2.58-3.19),246,69.69,4.48 (4.29-4.66)
GABA neurons expressing GLU receptors 22,1069,0.156,43.0,37,5,13.51,2.19 (1.75-2.64),32,86.49,2.15 (1.61-2.69)
GLU like neurons 17,489,0.077,10.0,42,1,2.38,2.68 (NA-NA),41,97.62,6.11 (5.58-6.64)
da like neurons 11,200,0.176,46.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,357,0.15,43.0,237,15,6.33,5.11 (4.43-5.79),222,93.67,4.35 (4.10-4.59)
endothelial cells 9,1653,0.118,42.0,297,10,3.37,4.15 (3.15-5.16),287,96.63,3.66 (3.45-3.87)
oligodendrocytes 20,250,0.25,71.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,3052,0.172,77.0,125,6,4.8,3.28 (2.76-3.80),119,95.2,3.35 (3.02-3.69)
astrocytes 8,1266,0.081,49.0,66,34,51.52,2.59 (2.14-3.04),32,48.48,4.17 (3.53-4.81)
oligodendrocyte progenitor cells 12,3303,0.109,82.0,276,86,31.16,2.89 (2.59-3.20),190,68.84,3.95 (3.67-4.23)
oligodendrocytes 10,2107,0.058,8.0,358,114,31.84,2.82 (2.51-3.13),244,68.16,4.50 (4.32-4.69)
connective tissue cells 21,111,0.309,69.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA)
astrocytes 15,367,0.131,42.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,91,0.204,54.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
da neurons 6,300,0.09,12.0,159,5,3.14,5.04 (3.87-6.20),154,96.86,4.34 (4.02-4.65)
astrocytes microglia 23,125,0.252,9.0,3,3,100.0,NA,0,0.0,NA
astrocytes 4,721,0.196,99.0,61,6,9.84,4.02 (2.13-5.90),55,90.16,2.84 (2.44-3.24)
oligodendrocytes 0,2078,0.137,91.0,238,33,13.87,3.42 (2.85-4.00),205,86.13,3.67 (3.43-3.91)
microglia 1,813,0.111,45.0,79,7,8.86,3.14 (2.13-4.14),72,91.14,3.10 (2.66-3.53)
oligodendrocytes 3,854,0.061,16.0,76,13,17.11,3.32 (2.53-4.11),63,82.89,2.66 (2.30-3.01)
oligodendrocytes 2,407,0.137,30.0,122,89,72.95,3.19 (2.72-3.67),33,27.05,3.77 (3.23-4.30)
