tipo_celular,module_size,SEMA4B_MM,SEMA4B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.108,49.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,599.0,0.146,19.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,300.0,0.132,10.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93)
da like neurons 11,204.0,0.19,52.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,330.0,0.024,1.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,2090.0,0.197,78.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.171,92.0,66,13,19.7,3.38 (2.42-4.33),53,80.3,3.18 (2.71-3.65)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,1277.0,0.103,47.0,27,5,18.52,7.31 (5.40-9.21),22,81.48,5.17 (4.28-6.06)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.07,33.0,105,7,6.67,1.64 (0.93-2.34),98,93.33,3.33 (2.99-3.68)
oligodendrocytes 16,199.0,0.144,26.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,61.0,0.268,22.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,171.0,0.107,8.0,22,2,9.09,4.26 (0.90-7.63),20,90.91,4.58 (3.59-5.57)
oligodendrocytes 0,613.0,0.126,32.0,127,1,0.79,2.74 (NA-NA),126,99.21,3.05 (2.64-3.47)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,854.0,0.151,93.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,347.0,0.163,32.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
