tipo_celular,module_size,MT1E_MM,MT1E_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,328.0,0.517,99.0,128,16,12.5,6.04 (3.82-8.27),112,87.5,3.49 (3.15-3.82)
oligodendrocyte progenitor cells 7,448.0,0.262,87.0,108,2,1.85,NA,106,98.15,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.538,95.0,302,12,3.97,4.86 (0.30-9.41),290,96.03,3.97 (3.75-4.19)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,603.0,0.363,99.0,89,12,13.48,7.18 (NA-NA),77,86.52,2.69 (2.36-3.02)
oligodendrocyte progenitor cells 12,1049.0,0.359,94.0,235,2,0.85,3.90 (3.90-3.90),233,99.15,3.82 (3.59-4.06)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.16,94.0,105,5,4.76,1.28 (0.44-2.13),100,95.24,3.32 (2.98-3.65)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,137.0,0.245,12.0,188,5,2.66,0.64 (0.36-0.91),183,97.34,4.49 (4.16-4.82)
astrocytes 4,208.0,0.507,96.0,173,29,16.76,4.59 (3.85-5.33),144,83.24,3.68 (3.36-4.00)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
