tipo_celular,module_size,ARHGEF4_MM,ARHGEF4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,222.0,0.192,45.0,98,3,3.06,4.23 (0.39-8.08),95,96.94,4.61 (4.21-5.02)
oligodendrocyte progenitor cells 7,436.0,0.102,30.0,219,3,1.37,4.12 (4.12-4.12),216,98.63,5.23 (4.94-5.52)
GABA neurons expressing GLU receptors 22,599.0,0.283,81.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,685.0,0.221,81.0,135,11,8.15,2.54 (1.69-3.38),124,91.85,3.25 (2.93-3.58)
da like neurons 11,120.0,0.392,85.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,288.0,0.109,15.0,93,11,11.83,2.92 (1.85-4.00),82,88.17,5.51 (5.02-6.00)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.154,63.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,279.0,0.28,50.0,78,11,14.1,2.68 (2.20-3.16),67,85.9,4.57 (4.13-5.01)
oligodendrocyte progenitor cells 12,254.0,0.455,92.0,37,6,16.22,2.96 (2.49-3.43),31,83.78,4.86 (4.23-5.50)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418.0,0.409,83.0,54,5,9.26,4.18 (3.39-4.97),49,90.74,3.62 (3.14-4.10)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.084,27.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,141.0,0.227,37.0,30,2,6.67,1.74 (1.73-1.75),28,93.33,6.06 (5.27-6.84)
astrocytes 4,251.0,0.188,66.0,34,2,5.88,2.42 (2.37-2.47),32,94.12,5.49 (4.93-6.06)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
