tipo_celular,module_size,NPL_MM,NPL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.248,87.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,222.0,0.426,98.0,98,0,0.0,NA,98,100.0,4.60 (4.19-5.00)
oligodendrocyte progenitor cells 7,200.0,0.323,89.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,685.0,0.183,73.0,135,3,2.22,1.57 (-0.17-3.31),132,97.78,3.23 (2.93-3.54)
da like neurons 11,142.0,0.166,32.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,403.0,0.046,14.0,18,3,16.67,1.43 (0.36-2.51),15,83.33,1.97 (1.18-2.76)
GABA like neurons 14,3052.0,0.198,91.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,279.0,0.298,62.0,78,0,0.0,NA,78,100.0,4.31 (3.90-4.73)
oligodendrocyte progenitor cells 12,3303.0,0.142,97.0,276,6,2.17,1.84 (0.81-2.86),270,97.83,3.58 (3.36-3.80)
oligodendrocytes 10,2107.0,0.214,73.0,358,9,2.51,1.57 (0.72-2.42),349,97.49,3.94 (3.75-4.13)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418.0,0.569,96.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,108.0,0.321,90.0,5,0,0.0,NA,5,100.0,3.97 (2.94-5.00)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.18,8.0,120,5,4.17,1.50 (0.37-2.62),115,95.83,3.73 (3.43-4.02)
astrocytes 4,255.0,0.197,65.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,2078.0,0.091,11.0,238,2,0.84,1.37 (-0.91-3.64),236,99.16,3.66 (3.44-3.88)
microglia 1,346.0,0.362,96.0,43,2,4.65,4.81 (0.71-8.90),41,95.35,3.71 (3.21-4.21)
oligodendrocytes 3,94.0,0.154,74.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73)
oligodendrocytes 2,347.0,0.143,19.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
