tipo_celular,module_size,ENOX1_MM,ENOX1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,118.0,0.171,14.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94)
oligodendrocyte progenitor cells 7,229.0,0.105,13.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,567.0,0.583,98.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,795.0,0.306,94.0,80,2,2.5,2.53 (2.34-2.73),78,97.5,5.80 (5.40-6.19)
da like neurons 11,191.0,0.391,75.0,93,3,3.23,2.12 (1.30-2.94),90,96.77,5.81 (5.43-6.18)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.504,87.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,676.0,0.319,58.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44)
GABA like neurons 14,1300.0,0.286,83.0,306,5,1.63,2.30 (1.67-2.94),301,98.37,5.16 (4.90-5.42)
astrocytes 8,771.0,0.236,72.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,138.0,0.344,10.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33)
oligodendrocytes 10,204.0,0.426,46.0,92,2,2.17,2.53 (2.34-2.73),90,97.83,5.82 (5.36-6.28)
connective tissue cells 21,250.0,0.73,94.0,117,3,2.56,2.12 (1.30-2.94),114,97.44,5.49 (5.10-5.88)
astrocytes 15,268.0,0.242,83.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,75.0,0.109,11.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,398.0,0.283,85.0,138,2,1.45,1.88 (-0.73-4.50),136,98.55,4.88 (4.51-5.24)
astrocytes microglia 23,190.0,0.174,2.0,7,1,14.29,3.22 (NA-NA),6,85.71,5.16 (4.09-6.24)
astrocytes 4,220.0,0.147,38.0,63,0,0.0,NA,63,100.0,5.13 (4.57-5.69)
oligodendrocytes 0,1186.0,0.057,1.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.063,14.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,348.0,0.204,54.0,114,2,1.75,2.53 (2.34-2.73),112,98.25,5.18 (4.77-5.59)
