tipo_celular,module_size,RPRD1A_MM,RPRD1A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249,0.128,32.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,388,0.055,4.0,84,2,2.38,2.57 (2.15-2.99),82,97.62,2.98 (2.65-3.32)
astrocytes 5,1141,0.114,26.0,166,19,11.45,1.78 (1.31-2.26),147,88.55,3.63 (3.38-3.89)
oligodendrocyte progenitor cells 7,4285,0.127,37.0,353,38,10.76,1.64 (1.29-1.98),315,89.24,4.18 (4.00-4.35)
GABA neurons expressing GLU receptors 22,823,0.095,6.0,23,3,13.04,2.03 (0.03-4.04),20,86.96,2.44 (1.65-3.24)
GLU like neurons 17,1316,0.061,5.0,101,4,3.96,5.21 (0.54-9.87),97,96.04,3.00 (2.66-3.34)
da like neurons 11,209,0.33,83.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,70,0.24,89.0,4,0,0.0,NA,4,100.0,3.85 (3.81-3.89)
endothelial cells 9,658,0.124,20.0,120,0,0.0,NA,120,100.0,4.61 (4.29-4.92)
oligodendrocytes 20,938,0.096,34.0,169,4,2.37,0.69 (0.05-1.34),165,97.63,3.54 (3.33-3.75)
GABA like neurons 14,1300,0.128,15.0,306,3,0.98,1.08 (-0.63-2.78),303,99.02,5.13 (4.87-5.39)
astrocytes 8,140,0.172,67.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,3303,0.126,92.0,276,29,10.51,1.84 (1.51-2.18),247,89.49,3.75 (3.53-3.97)
oligodendrocytes 10,806,0.038,4.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,139,0.25,19.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,367,0.157,59.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,82,0.167,23.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553,0.134,55.0,124,2,1.61,0.40 (NA-NA),122,98.39,4.23 (3.84-4.61)
astrocytes microglia 23,108,0.276,20.0,2,2,100.0,NA,0,0.0,NA
astrocytes 4,787,0.121,8.0,65,1,1.54,NA,64,98.46,2.96 (2.57-3.36)
oligodendrocytes 0,1186,0.119,15.0,300,3,1.0,NA,297,99.0,3.79 (3.59-4.00)
microglia 1,813,0.093,20.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,639,0.08,36.0,15,3,20.0,0.35 (0.26-0.44),12,80.0,4.20 (2.87-5.53)
oligodendrocytes 2,804,0.137,32.0,84,4,4.76,0.60 (0.21-1.00),80,95.24,2.79 (2.45-3.12)
