tipo_celular,module_size,GSTO1_MM,GSTO1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.189,51.0,102,16,15.69,2.10 (1.55-2.66),86,84.31,3.77 (3.38-4.17)
T cells 18,282.0,0.112,9.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.131,25.0,164,5,3.05,4.09 (3.85-4.32),159,96.95,4.08 (3.74-4.43)
GABA neurons expressing GLU receptors 22,487.0,0.192,42.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,417.0,0.223,81.0,213,17,7.98,1.79 (0.83-2.75),196,92.02,3.91 (3.67-4.15)
endothelial cells 9,916.0,0.287,69.0,302,6,1.99,3.22 (1.68-4.75),296,98.01,4.00 (3.77-4.23)
oligodendrocytes 20,250.0,0.143,30.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2402.0,0.377,77.0,455,17,3.74,2.12 (1.19-3.05),438,96.26,4.43 (4.25-4.62)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.137,72.0,235,10,4.26,3.95 (3.60-4.30),225,95.74,3.82 (3.58-4.06)
oligodendrocytes 10,735.0,0.16,79.0,277,3,1.08,3.95 (2.92-4.98),274,98.92,3.89 (3.65-4.14)
connective tissue cells 21,118.0,0.414,95.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,123.0,0.197,37.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,729.0,0.244,87.0,182,1,0.55,NA,181,99.45,3.64 (3.38-3.89)
astrocytes microglia 23,61.0,0.319,55.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.108,15.0,252,23,9.13,2.52 (1.75-3.28),229,90.87,4.25 (4.00-4.51)
microglia 1,406.0,0.108,20.0,278,5,1.8,3.83 (3.79-3.88),273,98.2,4.37 (4.10-4.65)
oligodendrocytes 3,303.0,0.094,28.0,154,1,0.65,NA,153,99.35,3.62 (3.30-3.94)
oligodendrocytes 2,526.0,0.199,28.0,213,2,0.94,4.47 (NA-NA),211,99.06,3.98 (3.70-4.25)
