tipo_celular,module_size,SEMA3B_MM,SEMA3B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.113,16.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,221.0,0.057,7.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,771.0,0.184,63.0,48,9,18.75,6.72 (4.95-8.49),39,81.25,3.84 (3.14-4.54)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,1277.0,0.205,92.0,27,5,18.52,7.31 (5.40-9.21),22,81.48,5.17 (4.28-6.06)
connective tissue cells 21,84.0,0.535,100.0,4,0,0.0,NA,4,100.0,4.34 (4.07-4.60)
astrocytes 15,1401.0,0.076,41.0,96,9,9.38,4.52 (3.14-5.90),87,90.62,3.50 (3.02-3.97)
oligodendrocytes 16,112.0,0.336,100.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,86.0,0.446,97.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
astrocytes 4,1807.0,0.121,13.0,104,5,4.81,1.40 (0.11-2.69),99,95.19,2.94 (2.66-3.22)
oligodendrocytes 0,479.0,0.166,62.0,40,20,50.0,6.27 (5.40-7.13),20,50.0,5.46 (4.95-5.97)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.216,95.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82)
oligodendrocytes 2,131.0,0.194,60.0,20,2,10.0,2.42 (2.37-2.47),18,90.0,4.81 (4.10-5.52)
