tipo_celular,module_size,PIP5K1B_MM,PIP5K1B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206.0,0.349,99.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.123,31.0,353,21,5.95,3.22 (2.30-4.14),332,94.05,3.94 (3.76-4.13)
GABA neurons expressing GLU receptors 22,714.0,0.304,92.0,17,1,5.88,2.68 (NA-NA),16,94.12,2.28 (1.66-2.91)
GLU like neurons 17,795.0,0.202,77.0,80,4,5.0,3.30 (2.43-4.17),76,95.0,5.86 (5.46-6.26)
da like neurons 11,145.0,0.347,82.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.556,97.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.153,24.0,306,24,7.84,2.67 (2.17-3.17),282,92.16,5.40 (5.14-5.66)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.099,73.0,276,22,7.97,3.55 (2.72-4.38),254,92.03,3.54 (3.32-3.76)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,228.0,0.179,87.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,100.0,0.253,27.0,9,1,11.11,2.53 (NA-NA),8,88.89,4.13 (3.05-5.21)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,1615.0,0.161,94.0,161,16,9.94,2.09 (1.35-2.83),145,90.06,3.42 (3.15-3.70)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
