tipo_celular,module_size,LARP6_MM,LARP6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,567.0,0.205,54.0,16,2,12.5,1.95 (NA-NA),14,87.5,1.97 (1.25-2.70)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,288.0,0.096,8.0,93,4,4.3,0.90 (0.75-1.04),89,95.7,5.33 (4.87-5.80)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.124,49.0,169,3,1.78,0.69 (0.05-1.34),166,98.22,3.54 (3.33-3.75)
GABA like neurons 14,2402.0,0.202,42.0,455,15,3.3,1.00 (0.57-1.42),440,96.7,4.48 (4.30-4.66)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,1277.0,0.113,53.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,91.0,0.403,95.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,84.0,0.19,61.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50)
da neurons 6,398.0,0.078,8.0,138,9,6.52,1.07 (0.65-1.49),129,93.48,5.10 (4.76-5.44)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.152,40.0,252,15,5.95,1.05 (0.61-1.50),237,94.05,4.31 (4.08-4.55)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.113,81.0,76,1,1.32,NA,75,98.68,3.16 (2.77-3.55)
oligodendrocytes 2,528.0,0.244,71.0,175,3,1.71,1.93 (1.64-2.21),172,98.29,4.42 (4.07-4.77)
