tipo_celular,module_size,AK9_MM,AK9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,727.0,0.153,58.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,499.0,0.15,44.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,4285.0,0.138,54.0,353,22,6.23,2.12 (1.57-2.67),331,93.77,4.04 (3.85-4.22)
GABA neurons expressing GLU receptors 22,714.0,0.265,85.0,17,6,35.29,2.69 (2.26-3.13),11,64.71,2.10 (1.23-2.96)
GLU like neurons 17,1247.0,0.167,71.0,51,1,1.96,3.78 (NA-NA),50,98.04,3.62 (3.03-4.21)
da like neurons 11,89.0,0.355,68.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.083,8.0,120,3,2.5,3.51 (2.68-4.34),117,97.5,4.64 (4.32-4.96)
oligodendrocytes 20,279.0,0.348,84.0,16,2,12.5,4.17 (NA-NA),14,87.5,2.26 (1.50-3.01)
GABA like neurons 14,3052.0,0.147,58.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,262.0,0.078,17.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303.0,0.106,80.0,276,13,4.71,2.80 (2.27-3.32),263,95.29,3.59 (3.36-3.81)
oligodendrocytes 10,1277.0,0.115,55.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,111.0,0.309,68.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA)
astrocytes 15,1768.0,0.096,58.0,105,8,7.62,2.16 (1.82-2.49),97,92.38,3.31 (2.95-3.66)
oligodendrocytes 16,61.0,0.147,17.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,140.0,0.235,6.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,1807.0,0.141,43.0,104,10,9.62,2.46 (1.80-3.11),94,90.38,2.91 (2.61-3.21)
oligodendrocytes 0,2078.0,0.108,38.0,238,3,1.26,2.60 (2.45-2.75),235,98.74,3.65 (3.42-3.87)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,854.0,0.079,38.0,76,3,3.95,4.00 (3.78-4.23),73,96.05,2.72 (2.39-3.06)
oligodendrocytes 2,921.0,0.121,24.0,200,4,2.0,2.72 (1.26-4.17),196,98.0,3.64 (3.37-3.91)
