tipo_celular,module_size,GSAP_MM,GSAP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.236,79.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58)
T cells 18,393.0,0.374,94.0,59,1,1.69,3.31 (NA-NA),58,98.31,3.10 (2.59-3.61)
astrocytes 5,1656.0,0.116,50.0,136,4,2.94,3.09 (2.35-3.84),132,97.06,3.21 (2.93-3.49)
oligodendrocyte progenitor cells 7,4285.0,0.161,86.0,353,23,6.52,1.82 (1.21-2.44),330,93.48,4.08 (3.90-4.26)
GABA neurons expressing GLU receptors 22,823.0,0.208,70.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23)
GLU like neurons 17,380.0,0.185,59.0,39,2,5.13,3.55 (3.45-3.65),37,94.87,2.93 (2.35-3.51)
da like neurons 11,109.0,0.113,12.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.09,12.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,283.0,0.174,70.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.116,87.0,276,19,6.88,2.04 (1.58-2.51),257,93.12,3.69 (3.47-3.91)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.107,69.0,96,3,3.12,1.90 (1.73-2.07),93,96.88,3.68 (3.22-4.14)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,255.0,0.302,78.0,57,2,3.51,2.32 (1.54-3.09),55,96.49,2.67 (2.29-3.04)
astrocytes 4,787.0,0.182,94.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,346.0,0.198,75.0,43,1,2.33,2.72 (NA-NA),42,97.67,3.80 (3.28-4.31)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
