tipo_celular,module_size,CLVS1_MM,CLVS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.128,39.0,353,19,5.38,1.90 (1.19-2.62),334,94.62,4.04 (3.86-4.22)
GABA neurons expressing GLU receptors 22,714.0,0.185,53.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,1247.0,0.168,71.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,197.0,0.395,91.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,75.0,0.263,98.0,3,1,33.33,NA,2,66.67,1.99 (1.51-2.46)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.29,85.0,306,6,1.96,1.70 (0.90-2.51),300,98.04,5.19 (4.94-5.45)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.127,93.0,276,7,2.54,2.89 (1.80-3.99),269,97.46,3.56 (3.34-3.79)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.071,11.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
