tipo_celular,module_size,EMSY_MM,EMSY_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181.0,0.18,33.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,624.0,0.13,31.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1141.0,0.129,46.0,166,8,4.82,1.97 (1.19-2.75),158,95.18,3.48 (3.22-3.73)
oligodendrocyte progenitor cells 7,4285.0,0.156,80.0,353,13,3.68,1.48 (0.86-2.10),340,96.32,4.01 (3.83-4.19)
GABA neurons expressing GLU receptors 22,459.0,0.139,41.0,165,0,0.0,NA,165,100.0,5.06 (4.72-5.41)
GLU like neurons 17,1316.0,0.122,48.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,408.0,0.071,7.0,25,3,12.0,1.72 (0.18-3.26),22,88.0,5.12 (3.73-6.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.191,87.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,322.0,0.357,95.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,3052.0,0.112,27.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.059,18.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,3303.0,0.118,89.0,276,8,2.9,2.14 (1.48-2.81),268,97.1,3.60 (3.38-3.82)
oligodendrocytes 10,2107.0,0.218,74.0,358,13,3.63,1.48 (0.86-2.10),345,96.37,3.98 (3.79-4.17)
connective tissue cells 21,112.0,0.25,56.0,7,0,0.0,NA,7,100.0,1.95 (1.17-2.73)
astrocytes 15,261.0,0.163,57.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64)
oligodendrocytes 16,82.0,0.19,66.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,112.0,0.318,50.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.175,89.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,1186.0,0.149,59.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,1615.0,0.142,86.0,161,13,8.07,1.48 (0.86-2.10),148,91.93,3.47 (3.20-3.74)
oligodendrocytes 3,681.0,0.122,72.0,87,10,11.49,1.82 (1.15-2.50),77,88.51,2.69 (2.40-2.98)
oligodendrocytes 2,921.0,0.174,93.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89)
