tipo_celular,module_size,MAPKAPK2_MM,MAPKAPK2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.182,47.0,102,59,57.84,3.45 (2.94-3.95),43,42.16,3.58 (3.07-4.08)
T cells 18,477.0,0.244,88.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,423.0,0.156,54.0,80,8,10.0,4.03 (3.02-5.05),72,90.0,3.33 (2.82-3.84)
oligodendrocyte progenitor cells 7,666.0,0.184,64.0,127,30,23.62,2.89 (2.39-3.39),97,76.38,4.20 (3.81-4.59)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,685.0,0.133,53.0,135,52,38.52,2.62 (2.25-2.98),83,61.48,3.55 (3.13-3.97)
da like neurons 11,142.0,0.194,42.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.162,44.0,54,1,1.85,4.29 (NA-NA),53,98.15,4.85 (4.21-5.50)
oligodendrocytes 20,295.0,0.151,34.0,28,3,10.71,3.35 (1.47-5.23),25,89.29,2.04 (1.60-2.48)
GABA like neurons 14,3052.0,0.179,82.0,125,6,4.8,4.04 (2.81-5.27),119,95.2,3.32 (2.99-3.66)
astrocytes 8,577.0,0.105,63.0,83,11,13.25,3.33 (2.34-4.33),72,86.75,3.24 (2.74-3.74)
oligodendrocyte progenitor cells 12,708.0,0.036,4.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,2107.0,0.117,38.0,358,87,24.3,2.75 (2.41-3.09),271,75.7,4.35 (4.15-4.55)
connective tissue cells 21,126.0,0.331,76.0,7,3,42.86,1.36 (0.78-1.94),4,57.14,1.65 (-0.44-3.74)
astrocytes 15,443.0,0.127,33.0,9,3,33.33,2.04 (-0.10-4.18),6,66.67,3.68 (2.17-5.18)
oligodendrocytes 16,113.0,0.303,94.0,10,2,20.0,2.92 (2.69-3.15),8,80.0,2.94 (1.92-3.97)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.406,78.0,120,61,50.83,3.06 (2.69-3.43),59,49.17,4.27 (3.85-4.69)
astrocytes 4,514.0,0.222,68.0,95,12,12.63,2.89 (1.63-4.16),83,87.37,3.44 (2.99-3.88)
oligodendrocytes 0,2078.0,0.105,31.0,238,25,10.5,3.56 (2.93-4.18),213,89.5,3.65 (3.41-3.88)
microglia 1,480.0,0.237,69.0,163,26,15.95,3.86 (3.42-4.30),137,84.05,3.68 (3.37-3.98)
oligodendrocytes 3,854.0,0.066,20.0,76,8,10.53,3.40 (2.43-4.37),68,89.47,2.70 (2.35-3.05)
oligodendrocytes 2,1630.0,0.121,15.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52)
