tipo_celular,module_size,USP53_MM,USP53_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.157,49.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45)
T cells 18,477.0,0.138,35.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1141.0,0.167,90.0,166,1,0.6,0.55 (NA-NA),165,99.4,3.41 (3.16-3.66)
oligodendrocyte progenitor cells 7,200.0,0.16,39.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74)
GABA neurons expressing GLU receptors 22,823.0,0.065,2.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,637.0,0.086,15.0,91,2,2.2,3.32 (0.62-6.02),89,97.8,4.57 (4.04-5.11)
da like neurons 11,87.0,0.283,50.0,3,0,0.0,NA,3,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.163,34.0,120,3,2.5,3.53 (1.64-5.41),117,97.5,4.64 (4.32-4.96)
oligodendrocytes 20,298.0,0.082,32.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,3052.0,0.137,47.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.282,99.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.029,2.0,276,2,0.72,1.25 (-0.12-2.62),274,99.28,3.56 (3.35-3.78)
oligodendrocytes 10,2107.0,0.211,72.0,358,2,0.56,1.25 (-0.12-2.62),356,99.44,3.88 (3.69-4.07)
connective tissue cells 21,147.0,0.342,92.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,1768.0,0.133,85.0,105,2,1.9,1.25 (-0.12-2.62),103,98.1,3.25 (2.92-3.59)
oligodendrocytes 16,78.0,0.303,94.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,114.0,0.207,4.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,255.0,0.233,83.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,117.0,0.073,4.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88)
microglia 1,1615.0,0.195,99.0,161,2,1.24,1.25 (-0.12-2.62),159,98.76,3.30 (3.03-3.57)
oligodendrocytes 3,242.0,0.067,10.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,347.0,0.16,30.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
