tipo_celular,module_size,DGCR8_MM,DGCR8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,727.0,0.092,11.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1656.0,0.13,74.0,136,8,5.88,2.13 (1.22-3.04),128,94.12,3.29 (3.01-3.56)
oligodendrocyte progenitor cells 7,4285.0,0.126,35.0,353,52,14.73,2.04 (1.73-2.36),301,85.27,4.32 (4.14-4.49)
GABA neurons expressing GLU receptors 22,714.0,0.13,19.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.13,32.0,74,7,9.46,1.87 (1.58-2.15),67,90.54,3.05 (2.65-3.45)
astrocytes 8,1266.0,0.027,2.0,66,18,27.27,2.01 (1.38-2.64),48,72.73,3.79 (3.34-4.23)
oligodendrocyte progenitor cells 12,3303.0,0.057,23.0,276,44,15.94,2.08 (1.78-2.37),232,84.06,3.91 (3.68-4.14)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,110.0,0.447,98.0,13,1,7.69,0.94 (NA-NA),12,92.31,3.30 (2.48-4.11)
astrocytes 15,1401.0,0.073,38.0,96,4,4.17,2.34 (1.47-3.22),92,95.83,3.68 (3.21-4.15)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,99.0,0.338,61.0,3,0,0.0,NA,3,100.0,1.85 (0.77-2.94)
astrocytes 4,1807.0,0.144,50.0,104,33,31.73,1.96 (1.57-2.34),71,68.27,3.32 (2.99-3.64)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
