tipo_celular,module_size,TMED5_MM,TMED5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.118,23.0,97,1,1.03,NA,96,98.97,3.06 (2.66-3.45)
T cells 18,282.0,0.192,65.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,1656.0,0.168,99.0,136,6,4.41,3.75 (2.85-4.64),130,95.59,3.19 (2.91-3.47)
oligodendrocyte progenitor cells 7,666.0,0.202,73.0,127,3,2.36,2.44 (1.72-3.17),124,97.64,3.88 (3.54-4.23)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.162,83.0,275,17,6.18,2.18 (1.37-2.99),258,93.82,4.11 (3.85-4.38)
oligodendrocytes 20,938.0,0.118,46.0,169,14,8.28,2.85 (2.17-3.54),155,91.72,3.55 (3.32-3.78)
GABA like neurons 14,3052.0,0.115,30.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,218.0,0.057,31.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,708.0,0.122,56.0,32,11,34.38,1.73 (0.89-2.57),21,65.62,4.23 (3.26-5.20)
oligodendrocytes 10,483.0,0.047,9.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,142.0,0.306,42.0,55,4,7.27,1.30 (-0.30-2.90),51,92.73,3.77 (2.90-4.64)
astrocytes 15,1768.0,0.176,97.0,105,13,12.38,2.60 (1.85-3.36),92,87.62,3.31 (2.94-3.67)
oligodendrocytes 16,105.0,0.224,51.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,101.0,0.352,76.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.184,99.0,104,12,11.54,2.59 (1.54-3.64),92,88.46,2.89 (2.60-3.18)
oligodendrocytes 0,613.0,0.137,45.0,127,7,5.51,3.47 (3.07-3.86),120,94.49,3.01 (2.56-3.46)
microglia 1,958.0,0.149,89.0,290,13,4.48,3.24 (2.67-3.82),277,95.52,3.85 (3.61-4.09)
oligodendrocytes 3,743.0,0.079,44.0,76,2,2.63,4.38 (3.13-5.64),74,97.37,3.12 (2.72-3.53)
oligodendrocytes 2,528.0,0.179,36.0,175,9,5.14,3.08 (2.65-3.51),166,94.86,4.49 (4.12-4.86)
