tipo_celular,module_size,NHLRC2_MM,NHLRC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.124,28.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,624.0,0.16,56.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1141.0,0.141,65.0,166,5,3.01,1.59 (0.76-2.43),161,96.99,3.46 (3.21-3.71)
oligodendrocyte progenitor cells 7,4285.0,0.16,85.0,353,13,3.68,1.40 (0.82-1.98),340,96.32,4.01 (3.83-4.20)
GABA neurons expressing GLU receptors 22,703.0,0.183,49.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,1316.0,0.085,15.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,172.0,0.248,54.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.104,14.0,120,0,0.0,NA,120,100.0,4.61 (4.29-4.92)
oligodendrocytes 20,275.0,0.452,95.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,3052.0,0.148,58.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,260.0,0.025,1.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,708.0,0.042,7.0,25,0,0.0,NA,25,100.0,2.87 (1.90-3.84)
oligodendrocytes 10,2107.0,0.172,59.0,358,12,3.35,1.33 (0.72-1.94),346,96.65,3.98 (3.79-4.17)
connective tissue cells 21,100.0,0.275,41.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.072,35.0,105,6,5.71,1.94 (1.38-2.49),99,94.29,3.30 (2.95-3.64)
oligodendrocytes 16,71.0,0.264,89.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,96.0,0.208,3.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03)
astrocytes 4,787.0,0.159,66.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.125,71.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,1615.0,0.142,86.0,161,12,7.45,1.33 (0.72-1.94),149,92.55,3.47 (3.20-3.73)
oligodendrocytes 3,854.0,0.1,61.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11)
oligodendrocytes 2,921.0,0.161,85.0,200,1,0.5,2.24 (NA-NA),199,99.5,3.63 (3.36-3.90)
