tipo_celular,module_size,KANK4_MM,KANK4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,1247.0,0.284,97.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,200.0,0.272,73.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,250.0,0.159,39.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2090.0,0.229,90.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,806.0,0.179,57.0,261,6,2.3,3.93 (3.22-4.64),255,97.7,4.38 (4.13-4.63)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,90.0,0.185,32.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09)
da neurons 6,307.0,0.2,92.0,95,1,1.05,2.92 (NA-NA),94,98.95,4.87 (4.43-5.31)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,116.0,0.096,14.0,169,0,0.0,NA,169,100.0,4.28 (3.98-4.57)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,242.0,0.344,97.0,6,2,33.33,5.55 (5.23-5.87),4,66.67,6.20 (4.76-7.64)
oligodendrocytes 2,347.0,0.333,90.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
