tipo_celular,module_size,MAST4_MM,MAST4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,610.0,0.194,77.0,98,8,8.16,3.37 (2.39-4.35),90,91.84,3.09 (2.76-3.43)
astrocytes 5,222.0,0.167,31.0,98,3,3.06,2.97 (0.83-5.12),95,96.94,4.66 (4.25-5.07)
oligodendrocyte progenitor cells 7,436.0,0.107,35.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,459.0,0.124,30.0,165,6,3.64,1.68 (0.99-2.37),159,96.36,5.25 (4.92-5.58)
GLU like neurons 17,489.0,0.331,93.0,42,1,2.38,2.68 (NA-NA),41,97.62,6.11 (5.58-6.64)
da like neurons 11,137.0,0.208,30.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA)
GABA neurons expressing GABA receptors 13,288.0,0.121,20.0,93,5,5.38,1.80 (0.41-3.20),88,94.62,5.40 (4.93-5.87)
endothelial cells 9,586.0,0.23,54.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,250.0,0.3,80.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,1300.0,0.233,62.0,306,19,6.21,2.67 (2.05-3.29),287,93.79,5.34 (5.08-5.60)
astrocytes 8,279.0,0.359,90.0,78,6,7.69,2.44 (1.87-3.01),72,92.31,4.50 (4.07-4.92)
oligodendrocyte progenitor cells 12,153.0,0.461,74.0,27,0,0.0,NA,27,100.0,4.76 (3.76-5.76)
oligodendrocytes 10,2107.0,0.304,90.0,358,15,4.19,2.53 (1.80-3.25),343,95.81,3.94 (3.74-4.14)
connective tissue cells 21,106.0,0.256,50.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA)
astrocytes 15,208.0,0.498,90.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,87.0,0.227,75.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,141.0,0.269,60.0,30,2,6.67,1.74 (1.73-1.75),28,93.33,6.06 (5.27-6.84)
astrocytes 4,514.0,0.114,7.0,95,4,4.21,1.16 (0.64-1.68),91,95.79,3.50 (3.07-3.92)
oligodendrocytes 0,309.0,0.182,82.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.129,74.0,15,4,26.67,2.66 (2.26-3.07),11,73.33,3.60 (1.63-5.57)
oligodendrocytes 2,804.0,0.181,79.0,84,12,14.29,2.93 (2.19-3.68),72,85.71,2.63 (2.26-3.01)
