tipo_celular,module_size,UBXN4_MM,UBXN4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218,0.195,39.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,624,0.096,11.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1141,0.13,48.0,166,2,1.2,0.55 (0.54-0.55),164,98.8,3.43 (3.18-3.68)
oligodendrocyte progenitor cells 7,4285,0.143,62.0,353,10,2.83,1.13 (0.46-1.80),343,97.17,3.99 (3.81-4.17)
GABA neurons expressing GLU receptors 22,599,0.187,38.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,685,0.088,20.0,135,3,2.22,2.18 (0.37-3.99),132,97.78,3.22 (2.91-3.53)
da like neurons 11,120,0.264,58.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,86,0.069,3.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72)
endothelial cells 9,559,0.12,34.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,938,0.21,83.0,169,3,1.78,2.18 (0.37-3.99),166,98.22,3.51 (3.29-3.73)
GABA like neurons 14,3052,0.123,36.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727,0.055,14.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303,0.081,53.0,276,3,1.09,1.58 (0.56-2.60),273,98.91,3.57 (3.35-3.79)
oligodendrocytes 10,483,0.057,14.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,104,0.252,32.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09)
astrocytes 15,338,0.164,60.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,90,0.161,25.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553,0.06,2.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,70,0.218,8.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 4,752,0.154,50.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,613,0.137,45.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,958,0.103,37.0,290,0,0.0,NA,290,100.0,3.81 (3.58-4.04)
oligodendrocytes 3,639,0.061,18.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82)
oligodendrocytes 2,528,0.173,32.0,175,1,0.57,3.74 (NA-NA),174,99.43,4.38 (4.03-4.74)
