tipo_celular,module_size,SLC2A3_MM,SLC2A3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.252,73.0,102,4,3.92,1.16 (0.65-1.68),98,96.08,3.60 (3.24-3.96)
T cells 18,282.0,0.122,30.0,241,1,0.41,2.39 (NA-NA),240,99.59,4.06 (3.81-4.32)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,487.0,0.192,42.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,685.0,0.257,86.0,135,11,8.15,1.74 (0.91-2.57),124,91.85,3.28 (2.97-3.60)
da like neurons 11,1220.0,0.12,25.0,410,25,6.1,2.78 (2.32-3.25),385,93.9,4.34 (4.14-4.53)
GABA neurons expressing GABA receptors 13,65.0,0.196,69.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59)
endothelial cells 9,412.0,0.212,64.0,141,1,0.71,2.08 (NA-NA),140,99.29,2.97 (2.73-3.21)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.277,61.0,455,27,5.93,1.99 (1.32-2.66),428,94.07,4.49 (4.30-4.67)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,57.0,0.322,59.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,518.0,0.128,68.0,122,24,19.67,2.30 (1.63-2.97),98,80.33,4.45 (4.04-4.86)
astrocytes microglia 23,108.0,0.381,81.0,8,0,0.0,NA,8,100.0,1.12 (0.45-1.80)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,480.0,0.116,11.0,163,3,1.84,NA,160,98.16,3.71 (3.44-3.97)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
