tipo_celular,module_size,MAP2K7_MM,MAP2K7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,349.0,0.114,23.0,68,6,8.82,2.16 (0.76-3.55),62,91.18,4.66 (4.11-5.21)
astrocytes 5,932.0,0.09,20.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10)
oligodendrocyte progenitor cells 7,4285.0,0.099,9.0,353,59,16.71,2.22 (1.92-2.51),294,83.29,4.33 (4.15-4.52)
GABA neurons expressing GLU receptors 22,203.0,0.335,76.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,489.0,0.14,53.0,42,1,2.38,2.68 (NA-NA),41,97.62,6.11 (5.58-6.64)
da like neurons 11,853.0,0.123,44.0,133,36,27.07,2.02 (1.65-2.38),97,72.93,3.83 (3.47-4.19)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.099,18.0,62,2,3.23,NA,60,96.77,4.05 (3.60-4.49)
oligodendrocytes 20,221.0,0.193,50.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,2090.0,0.146,44.0,74,12,16.22,2.13 (1.92-2.35),62,83.78,3.13 (2.68-3.57)
astrocytes 8,1266.0,0.052,17.0,66,23,34.85,2.32 (1.74-2.91),43,65.15,3.84 (3.35-4.33)
oligodendrocyte progenitor cells 12,3303.0,0.049,14.0,276,53,19.2,2.40 (2.13-2.67),223,80.8,3.90 (3.65-4.15)
oligodendrocytes 10,735.0,0.065,25.0,277,4,1.44,6.66 (4.85-8.47),273,98.56,3.85 (3.61-4.09)
connective tissue cells 21,106.0,0.35,82.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09)
astrocytes 15,1401.0,0.025,2.0,96,8,8.33,3.07 (2.20-3.94),88,91.67,3.67 (3.18-4.16)
oligodendrocytes 16,105.0,0.299,90.0,12,1,8.33,NA,11,91.67,2.24 (1.48-3.00)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,78.0,0.248,8.0,3,0,0.0,NA,3,100.0,0.39 (0.24-0.54)
astrocytes 4,1807.0,0.142,45.0,104,23,22.12,1.74 (1.38-2.10),81,77.88,3.22 (2.91-3.53)
oligodendrocytes 0,2078.0,0.11,41.0,238,19,7.98,2.48 (2.17-2.79),219,92.02,3.76 (3.52-3.99)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.038,2.0,87,37,42.53,2.06 (1.74-2.38),50,57.47,3.01 (2.63-3.38)
oligodendrocytes 2,1630.0,0.157,81.0,154,2,1.3,3.03 (2.40-3.66),152,98.7,3.25 (2.98-3.52)
